# Trager, King & Djorgovski 1995 (AJ 109, 218) -- VizieR J/AJ/109/218/tables
# Name	logr[arcsec]	muV	muVf	Weight
ngc6205 	 0.209	16.59	16.77	 0.000
ngc6205 	 0.514	16.64	16.77	 0.000
ngc6205 	 0.594	16.45	16.77	 1.000
ngc6205 	 0.689	16.69	16.77	 0.000
ngc6205 	 0.815	16.74	16.78	 1.000
ngc6205 	 0.907	16.72	16.78	 1.000
ngc6205 	 0.912	16.79	16.78	 1.000
ngc6205 	 0.933	16.75	16.79	 1.000
ngc6205 	 0.990	16.79	16.79	 1.000
ngc6205 	 1.058	16.83	16.80	 1.000
ngc6205 	 1.115	16.84	16.82	 1.000
ngc6205 	 1.128	16.67	16.82	 1.000
ngc6205 	 1.128	16.70	16.82	 1.000
ngc6205 	 1.167	16.75	16.83	 1.000
ngc6205 	 1.167	16.88	16.83	 1.000
ngc6205 	 1.193	16.80	16.84	 1.000
ngc6205 	 1.213	16.93	16.85	 1.000
ngc6205 	 1.254	16.98	16.87	 1.000
ngc6205 	 1.292	16.99	16.89	 1.000
ngc6205 	 1.326	16.98	16.91	 1.000
ngc6205 	 1.355	16.35	16.94	 0.200
ngc6205 	 1.359	16.96	16.94	 1.000
ngc6205 	 1.389	16.96	16.97	 1.000
ngc6205 	 1.395	16.95	16.98	 1.000
ngc6205 	 1.417	16.96	17.00	 1.000
ngc6205 	 1.430	16.90	17.01	 1.000
ngc6205 	 1.430	17.00	17.01	 1.000
ngc6205 	 1.447	16.97	17.03	 1.000
ngc6205 	 1.468	17.07	17.06	 1.000
ngc6205 	 1.535	17.30	17.17	 1.000
ngc6205 	 1.593	17.32	17.28	 1.000
ngc6205 	 1.606	17.55	17.31	 1.000
ngc6205 	 1.614	17.52	17.32	 1.000
ngc6205 	 1.643	17.50	17.39	 1.000
ngc6205 	 1.644	17.53	17.39	 1.000
ngc6205 	 1.690	17.81	17.51	 1.000
ngc6205 	 1.704	17.22	17.55	 0.300
ngc6205 	 1.731	17.62	17.63	 1.000
ngc6205 	 1.731	17.65	17.63	 1.000
ngc6205 	 1.731	17.84	17.63	 1.000
ngc6205 	 1.769	17.83	17.76	 1.000
ngc6205 	 1.804	17.84	17.88	 1.000
ngc6205 	 1.828	18.00	17.97	 1.000
ngc6205 	 1.866	18.16	18.12	 1.000
ngc6205 	 1.907	18.40	18.29	 1.000
ngc6205 	 1.912	18.33	18.31	 1.000
ngc6205 	 1.945	18.59	18.46	 1.000
ngc6205 	 2.012	18.82	18.80	 1.000
ngc6205 	 2.032	18.90	18.90	 1.000
ngc6205 	 2.054	19.11	19.02	 1.000
ngc6205 	 2.070	19.14	19.11	 1.000
ngc6205 	 2.121	19.34	19.41	 1.000
ngc6205 	 2.128	19.62	19.45	 1.000
ngc6205 	 2.161	19.63	19.66	 1.000
ngc6205 	 2.167	19.68	19.69	 1.000
ngc6205 	 2.208	19.85	19.97	 1.000
ngc6205 	 2.208	19.87	19.96	 1.000
ngc6205 	 2.233	20.20	20.13	 0.300
ngc6205 	 2.246	19.89	20.22	 1.000
ngc6205 	 2.247	20.34	20.23	 1.000
ngc6205 	 2.302	20.76	20.63	 0.300
ngc6205 	 2.313	20.56	20.71	 1.000
ngc6205 	 2.319	20.91	20.75	 1.000
ngc6205 	 2.375	21.31	21.19	 0.500
ngc6205 	 2.375	21.87	21.19	 0.300
ngc6205 	 2.388	21.34	21.29	 0.300
ngc6205 	 2.397	21.17	21.37	 1.000
ngc6205 	 2.412	21.47	21.49	 0.500
ngc6205 	 2.460	21.88	21.89	 0.300
ngc6205 	 2.469	21.72	21.97	 1.000
ngc6205 	 2.477	22.29	22.04	 0.300
ngc6205 	 2.483	22.26	22.09	 1.000
ngc6205 	 2.483	22.52	22.09	 0.500
ngc6205 	 2.522	22.50	22.44	 0.400
ngc6205 	 2.531	22.31	22.51	 0.000
ngc6205 	 2.536	22.72	22.56	 0.300
ngc6205 	 2.569	22.66	22.87	 0.300
ngc6205 	 2.569	22.86	22.87	 1.000
ngc6205 	 2.569	23.18	22.87	 0.800
ngc6205 	 2.576	23.01	22.93	 0.500
ngc6205 	 2.585	22.73	23.02	 0.000
ngc6205 	 2.589	23.19	23.06	 0.500
ngc6205 	 2.625	23.55	23.41	 0.800
ngc6205 	 2.633	22.99	23.48	 0.000
ngc6205 	 2.636	23.67	23.51	 0.800
ngc6205 	 2.641	23.30	23.56	 0.300
ngc6205 	 2.641	23.61	23.56	 1.000
ngc6205 	 2.641	23.64	23.56	 1.000
ngc6205 	 2.668	23.91	23.83	 1.000
ngc6205 	 2.676	23.48	23.92	 0.000
ngc6205 	 2.678	24.01	23.94	 1.000
ngc6205 	 2.703	24.02	24.19	 0.500
ngc6205 	 2.703	24.21	24.19	 1.000
ngc6205 	 2.703	24.23	24.19	 1.000
ngc6205 	 2.707	24.27	24.23	 1.000
ngc6205 	 2.716	24.09	24.33	 0.000
