objeto,config,theta_int_arcmin,CminA,CminB,ratio_umbral,areaA_px,areaB_px,d_area_pct,flujoA,flujoB,d_flujo_pct,rVisA_as,rVisB_as,aparecen_px,desaparecen_px
M104,18a66_212,8.772,1.3023e-1,1.0800e-1,0.829,2400,2575,7.3,1.6434e-5,1.6699e-5,1.6,548,548,175,0
M104,18a158_212,8.772,1.0023e-1,1.8197e-1,1.816,15144,11979,-20.9,9.1539e-5,8.6223e-5,-5.8,548,548,0,3165
M104,12a152_212,8.772,1.3462e-1,2.4165e-1,1.795,12555,9772,-22.2,8.2533e-5,7.6702e-5,-7.1,549,547,0,2783
M104,18a158_220,8.772,1.2971e-1,2.4061e-1,1.855,17564,14448,-17.7,9.4238e-5,9.0118e-5,-4.4,548,548,0,3116
M81,18a66_212,21.150,1.3023e-1,9.4680e-2,0.727,12988,17620,35.7,2.5439e-5,2.6953e-5,6.0,836,836,4632,0
M81,18a158_212,21.150,1.0023e-1,1.6783e-1,1.674,94717,56639,-40.2,1.5139e-4,1.3798e-4,-8.9,835,835,0,38078
M81,12a152_212,21.150,1.3462e-1,2.1941e-1,1.630,66746,37192,-44.3,1.3288e-4,1.2200e-4,-8.2,835,835,0,29554
M81,18a158_220,21.150,1.2971e-1,2.1921e-1,1.690,152013,90347,-40.6,1.6498e-4,1.4890e-4,-9.7,837,835,0,61666
M51,18a66_212,12.921,1.3023e-1,1.0021e-1,0.769,6333,7511,18.6,1.0562e-5,1.1519e-5,9.1,720,720,1178,0
M51,18a158_212,12.921,1.0023e-1,1.7374e-1,1.734,43205,29881,-30.8,6.5656e-5,5.4099e-5,-17.6,721,721,0,13324
M51,12a152_212,12.921,1.3462e-1,2.2870e-1,1.699,32954,22716,-31.1,5.5087e-5,4.4827e-5,-18.6,722,720,0,10238
M51,18a158_220,12.921,1.2971e-1,2.2815e-1,1.759,57964,40953,-29.3,7.4319e-5,6.2932e-5,-15.3,721,721,0,17011
M101,18a66_212,23.179,1.3023e-1,9.3768e-2,0.720,10666,16763,57.2,5.6931e-6,6.8313e-6,20.0,836,836,6097,0
M101,18a158_212,23.179,1.0023e-1,1.6685e-1,1.665,88036,40232,-54.3,3.9557e-5,3.0318e-5,-23.4,776,776,0,47804
M101,12a152_212,23.179,1.3462e-1,2.1787e-1,1.618,53313,25122,-52.9,3.2213e-5,2.5470e-5,-20.9,776,775,0,28191
M101,18a158_220,23.179,1.2971e-1,2.1773e-1,1.679,144358,83547,-42.1,5.0175e-5,3.7879e-5,-24.5,843,776,0,60811
NGC205,18a66_212,9.199,1.3023e-1,1.0629e-1,0.816,3093,3420,10.6,1.4333e-5,1.4662e-5,2.3,840,840,327,0
NGC205,18a158_212,9.199,1.0023e-1,1.8017e-1,1.798,19999,14396,-28.0,7.9264e-5,7.3654e-5,-7.1,840,826,0,5603
NGC205,12a152_212,9.199,1.3462e-1,2.3882e-1,1.774,16038,11004,-31.4,7.1437e-5,6.5939e-5,-7.7,840,839,0,5034
NGC205,18a158_220,9.199,1.2971e-1,2.3789e-1,1.834,24415,18855,-22.8,8.3160e-5,7.7652e-5,-6.6,841,840,0,5560
SINT6,18a66_212,6.000,1.3023e-1,1.1802e-1,0.906,973,1041,7.0,1.3226e-6,1.3757e-6,4.0,96,99,68,0
SINT6,18a158_212,6.000,1.0023e-1,1.9238e-1,1.919,6697,4125,-38.4,8.2542e-6,6.2264e-6,-24.6,104,82,0,2572
SINT6,12a152_212,6.000,1.3462e-1,2.5814e-1,1.918,5041,2965,-41.2,6.8115e-6,4.8870e-6,-28.3,94,72,0,2076
SINT6,18a158_220,6.000,1.2971e-1,2.5646e-1,1.977,8897,5813,-34.7,9.4932e-6,7.4959e-6,-21.0,119,97,0,3084
