objeto,config,ley,r_as,media_flujo,fraccion_visible
M104,18a66_212,A,2.0,3.774e-7,1.000
M104,18a66_212,A,10.0,1.278e-7,1.000
M104,18a66_212,A,14.0,6.373e-8,1.000
M104,18a66_212,A,18.0,4.064e-8,1.000
M104,18a66_212,A,22.0,2.774e-8,1.000
M104,18a66_212,A,26.0,2.654e-8,1.000
M104,18a66_212,A,30.0,2.430e-8,1.000
M104,18a66_212,A,34.0,1.908e-8,1.000
M104,18a66_212,A,38.0,1.484e-8,1.000
M104,18a66_212,A,42.0,1.190e-8,0.972
M104,18a66_212,A,46.0,1.334e-8,1.000
M104,18a66_212,A,50.0,1.057e-8,1.000
M104,18a66_212,A,54.0,8.242e-9,0.979
M104,18a66_212,A,58.0,7.259e-9,1.000
M104,18a66_212,A,62.0,6.629e-9,0.985
M104,18a66_212,A,66.0,5.810e-9,1.000
M104,18a66_212,A,70.0,4.141e-9,0.981
M104,18a66_212,A,74.0,3.511e-9,1.000
M104,18a66_212,A,78.0,4.108e-9,1.000
M104,18a66_212,A,82.0,5.076e-9,1.000
M104,18a66_212,A,86.0,2.544e-9,1.000
M104,18a66_212,A,90.0,1.328e-9,0.944
M104,18a66_212,A,94.0,2.092e-9,0.964
M104,18a66_212,A,98.0,2.014e-9,0.938
M104,18a66_212,A,102.0,1.314e-9,0.978
M104,18a66_212,A,106.0,6.164e-10,0.900
M104,18a66_212,A,110.0,1.160e-9,0.870
M104,18a66_212,A,114.0,9.245e-10,0.795
M104,18a66_212,A,118.0,8.323e-10,0.804
M104,18a66_212,A,122.0,2.419e-10,0.759
M104,18a66_212,A,126.0,5.429e-10,0.632
M104,18a66_212,A,130.0,5.341e-10,0.565
M104,18a66_212,A,134.0,4.583e-10,0.492
M104,18a66_212,A,138.0,5.991e-11,0.397
M104,18a66_212,A,142.0,3.411e-10,0.353
M104,18a66_212,A,146.0,3.052e-10,0.311
M104,18a66_212,A,150.0,2.104e-10,0.211
M104,18a66_212,A,154.0,1.513e-11,0.161
M104,18a66_212,A,158.0,1.432e-10,0.194
M104,18a66_212,A,162.0,1.056e-10,0.203
M104,18a66_212,A,166.0,6.359e-11,0.131
M104,18a66_212,A,170.0,8.544e-10,0.137
M104,18a66_212,A,174.0,3.168e-11,0.131
M104,18a66_212,A,178.0,1.779e-10,0.116
M104,18a66_212,A,182.0,7.787e-12,0.083
M104,18a66_212,A,186.0,1.838e-12,0.028
M104,18a66_212,A,190.0,2.332e-11,0.064
M104,18a66_212,A,194.0,3.062e-12,0.045
M104,18a66_212,A,198.0,5.519e-11,0.018
M104,18a66_212,A,202.0,3.908e-12,0.011
M104,18a66_212,A,206.0,7.593e-12,0.017
M104,18a66_212,A,210.0,8.999e-13,0.005
M104,18a66_212,A,214.0,2.410e-11,0.015
M104,18a66_212,A,218.0,4.564e-12,0.018
M104,18a66_212,A,222.0,7.384e-11,0.025
M104,18a66_212,A,226.0,1.039e-9,0.028
M104,18a66_212,A,230.0,1.206e-9,0.045
M104,18a66_212,A,234.0,6.495e-10,0.042
M104,18a66_212,A,238.0,1.057e-10,0.027
M104,18a66_212,A,242.0,9.559e-12,0.024
M104,18a66_212,A,246.0,2.677e-11,0.014
M104,18a66_212,A,250.0,3.016e-11,0.025
M104,18a66_212,A,254.0,3.704e-11,0.013
M104,18a66_212,A,258.0,7.104e-10,0.013
M104,18a66_212,A,262.0,1.185e-13,0.004
M104,18a66_212,A,270.0,5.889e-12,0.004
M104,18a66_212,A,274.0,7.754e-12,0.012
M104,18a66_212,A,278.0,4.882e-11,0.012
M104,18a66_212,A,282.0,1.212e-12,0.004
M104,18a66_212,A,286.0,4.524e-12,0.004
M104,18a66_212,A,290.0,5.128e-13,0.004
M104,18a66_212,A,302.0,5.282e-12,0.007
M104,18a66_212,A,306.0,9.285e-10,0.018
M104,18a66_212,A,310.0,4.099e-11,0.018
M104,18a66_212,A,314.0,6.166e-12,0.024
M104,18a66_212,A,318.0,2.558e-9,0.014
M104,18a66_212,A,322.0,4.235e-11,0.019
M104,18a66_212,A,326.0,6.984e-12,0.007
M104,18a66_212,A,330.0,3.631e-13,0.007
M104,18a66_212,A,342.0,2.513e-12,0.013
M104,18a66_212,A,346.0,3.509e-11,0.010
