fondo,theta_app_arcmin,prod_rama_M66,prod_rama_M158,prod_rama_M400,prod_main_M158,h2c_campo,h2c_blackwell
21,18,1.2121e-1,5.0633e-2,3.6000e-2,6.3645e-2,1.5950e+0,7.9557e-1
21,30,1.2121e-1,5.0633e-2,3.6000e-2,6.3645e-2,7.5848e-1,3.7831e-1
21,60,1.2121e-1,5.0633e-2,3.6000e-2,6.3645e-2,3.3278e-1,1.6599e-1
21,120,1.2121e-1,5.0633e-2,3.6000e-2,6.3645e-2,1.8478e-1,9.2164e-2
21,240,1.2121e-1,5.0633e-2,3.6000e-2,6.3645e-2,1.2699e-1,6.3338e-2
21,360,1.2121e-1,5.0633e-2,3.6000e-2,6.3645e-2,1.1012e-1,5.4927e-2
22,18,1.6732e-1,6.9893e-2,4.9694e-2,8.7854e-2,2.9582e+0,1.4353e+0
22,30,1.6732e-1,6.9893e-2,4.9694e-2,8.7854e-2,1.3570e+0,6.5838e-1
22,60,1.6732e-1,6.9893e-2,4.9694e-2,8.7854e-2,5.6040e-1,2.7190e-1
22,120,1.6732e-1,6.9893e-2,4.9694e-2,8.7854e-2,2.9209e-1,1.4172e-1
22,240,1.6732e-1,6.9893e-2,4.9694e-2,8.7854e-2,1.9043e-1,9.2394e-2
22,360,1.6732e-1,6.9893e-2,4.9694e-2,8.7854e-2,1.6136e-1,7.8288e-2
23,18,2.3096e-1,9.6479e-2,6.8597e-2,1.2127e-1,5.5461e+0,2.6176e+0
23,30,2.3096e-1,9.6479e-2,6.8597e-2,1.2127e-1,2.4623e+0,1.1621e+0
23,60,2.3096e-1,9.6479e-2,6.8597e-2,1.2127e-1,9.6003e-1,4.5310e-1
23,120,2.3096e-1,9.6479e-2,6.8597e-2,1.2127e-1,4.6939e-1,2.2154e-1
23,240,2.3096e-1,9.6479e-2,6.8597e-2,1.2127e-1,2.8920e-1,1.3649e-1
23,360,2.3096e-1,9.6479e-2,6.8597e-2,1.2127e-1,2.3879e-1,1.1270e-1
24,18,3.1882e-1,1.3318e-1,9.4690e-2,1.6740e-1,1.0499e+1,4.8200e+0
24,30,3.1882e-1,1.3318e-1,9.4690e-2,1.6740e-1,4.5266e+0,2.0782e+0
24,60,3.1882e-1,1.3318e-1,9.4690e-2,1.6740e-1,1.6722e+0,7.6773e-1
24,120,3.1882e-1,1.3318e-1,9.4690e-2,1.6740e-1,7.6726e-1,3.5225e-1
24,240,3.1882e-1,1.3318e-1,9.4690e-2,1.6740e-1,4.4532e-1,2.0445e-1
24,360,3.1882e-1,1.3318e-1,9.4690e-2,1.6740e-1,3.5735e-1,1.6406e-1
