fondo,theta_arcmin,log_theta,area_arcmin2,log_area,logC,C,CA,pend_local
13,0.5949767567589802,-0.2255,0.278,-0.5559,0.4557,2.8556e+0,7.9394e-1,-1.948
13,3.599979270433567,0.5563,10.179,1.0077,-1.0673,8.5645e-2,8.7175e-1,-1.877
13,9.680549277120615,0.9859,73.602,1.8669,-1.8186,1.5184e-2,1.1176e+0,-1.401
13,18.197008586099834,1.26,260.070,2.4151,-2.0531,8.8491e-3,2.3014e+0,-0.563
13,55.207743928075736,1.742,2393.811,3.3791,-2.2445,5.6951e-3,1.3633e+1,-0.310
13,121.05981335504829,2.083,11510.386,4.0611,-2.3083,4.9170e-3,5.6597e+1,-0.129
13,359.74933515574236,2.556,101645.904,5.0071,-2.3491,4.4761e-3,4.5498e+2,-0.086
17,0.5949767567589802,-0.2255,0.278,-0.5559,1.4822,3.0353e+1,8.4390e+0,-1.949
17,3.599979270433567,0.5563,10.179,1.0077,-0.0419,9.0803e-1,9.2425e+0,-1.904
17,9.680549277120615,0.9859,73.602,1.8669,-0.8243,1.4986e-1,1.1030e+1,-1.571
17,18.197008586099834,1.26,260.070,2.4151,-1.1475,7.1203e-2,1.8518e+1,-0.896
17,55.207743928075736,1.742,2393.811,3.3791,-1.5021,3.1470e-2,7.5334e+1,-0.643
17,121.05981335504829,2.083,11510.386,4.0611,-1.6768,2.1047e-2,2.4226e+2,-0.418
17,359.74933515574236,2.556,101645.904,5.0071,-1.842,1.4388e-2,1.4625e+3,-0.349
19,0.5949767567589802,-0.2255,0.278,-0.5559,2.2669,1.8488e+2,5.1403e+1,-2.009
19,3.599979270433567,0.5563,10.179,1.0077,0.696,4.9659e+0,5.0546e+1,-1.980
19,9.680549277120615,0.9859,73.602,1.8669,-0.1315,7.3875e-1,5.4374e+1,-1.772
19,18.197008586099834,1.26,260.070,2.4151,-0.551,2.8119e-1,7.3129e+1,-1.223
19,55.207743928075736,1.742,2393.811,3.3791,-1.0562,8.7862e-2,2.1032e+2,-0.897
19,121.05981335504829,2.083,11510.386,4.0611,-1.2892,5.1381e-2,5.9141e+2,-0.524
19,359.74933515574236,2.556,101645.904,5.0071,-1.4827,3.2908e-2,3.3450e+3,-0.409
21,0.5949767567589802,-0.2255,0.278,-0.5559,2.7766,5.9786e+2,1.6622e+2,-2.008
21,3.599979270433567,0.5563,10.179,1.0077,1.2065,1.6088e+1,1.6375e+2,-2.006
21,9.680549277120615,0.9859,73.602,1.8669,0.3467,2.2218e+0,1.6353e+2,-1.910
21,18.197008586099834,1.26,260.070,2.4151,-0.1377,7.2828e-1,1.8940e+2,-1.432
21,55.207743928075736,1.742,2393.811,3.3791,-0.7361,1.8361e-1,4.3953e+2,-1.043
21,121.05981335504829,2.083,11510.386,4.0611,-0.9964,1.0083e-1,1.1606e+3,-0.624
21,359.74933515574236,2.556,101645.904,5.0071,-1.2439,5.7030e-2,5.7968e+3,-0.523
23,0.5949767567589802,-0.2255,0.278,-0.5559,3.1634,1.4568e+3,4.0503e+2,-1.986
23,3.599979270433567,0.5563,10.179,1.0077,1.6107,4.0804e+1,4.1533e+2,-1.975
23,9.680549277120615,0.9859,73.602,1.8669,0.7708,5.8993e+0,4.3420e+2,-1.929
23,18.197008586099834,1.26,260.070,2.4151,0.2531,1.7910e+0,4.6579e+2,-1.535
23,55.207743928075736,1.742,2393.811,3.3791,-0.3895,4.0785e-1,9.7631e+2,-1.162
23,121.05981335504829,2.083,11510.386,4.0611,-0.703,1.9815e-1,2.2808e+3,-0.711
23,359.74933515574236,2.556,101645.904,5.0071,-0.9681,1.0762e-1,1.0939e+4,-0.560
