objeto,escala,rad_px,frac_b_interbrazo,reduccion_b_pct,puente_frac_negros,brazo_negros,cielo_frac_op_pos,cielo_nivel,max_dmag_anillos_1.2_2.0,rms_nivel_vs_s25,solo_rampa,ms_soporte
M51,s25,12,0.5116,0.0,0.1961,0,0.0000,23.556,,0,49044,23.9
M51,s33,16,0.5058,1.1,0.1928,0,0.0000,23.556,0.0644,0.215,48751,25.1
M51,s50,24,0.4967,2.9,0.1993,0,0.0000,23.556,0.0644,0.414,48005,27.8
M51,s66,31,0.4851,5.2,0.2092,0,0.0000,23.556,0.0644,0.508,47675,25.5
M51,s75,35,0.4810,6.0,0.2190,0,0.0000,23.556,0.0644,0.550,47578,23.4
M51,s100,47,0.4810,6.0,0.2157,0,0.0000,23.556,0.0644,0.660,46976,24.1
M51,s132,62,0.4942,3.4,0.1961,0,0.0000,23.556,0.0644,0.745,46198,23.7
M51,s150,71,0.4478,12.5,0.1797,0,0.0000,23.556,0.0644,0.775,45594,27.3
M51,m25+50+75+100+150,12+24+35+47+71,0.4073,20.4,0.1601,0,0.0000,23.556,0.0000,0.770,44068,96
M81,s25,11,,,,,0.0500,23.717,,0,123551,23.8
M81,s150,64,,,,,0.0047,23.701,0.0399,0.777,122263,24.7
M104,s25,16,,,,,0.0012,23.564,,0,0,23.1
M104,s150,97,,,,,0.0012,23.564,0.0035,0.815,0,25
M101,s25,11,,,,,0.0000,0.000,,0,141442,25.6
NGC205,s25,11,,,,,0.0083,23.635,,0,0,27.9
