ID;Name;Type;RA;Dec;Mag;Mag 2;Sep
Theta 1 Ser;SAO124068, HD175638, the Ser, 63 Ser,Alya, HR7141;Triple;18h 56m 13s;+04°12,2';4,6;5,0;22,2
Sigma CrB;SAO65165, HD146361, sig CrB, 17 CrB, HR6063;Mult;16h 14m 41s;+33°51,5';5,6;6,6;6,4
HR6043;SAO65129, HD145802;Triple;16h 11m 40s;+33°20,5';6,3;10,6;5,4
HR5816;SAO140672, HD139461;Dbl;15h 38m 40s;-08°47,4';6,5;6,7;11,9
HD 139691;SAO 64821;Mult+Star+UVSrc;15h 38m 13s;+36°14,8';7,8;;
Alkalurops;SAO64686, HD137391, mu Boo, 51 Boo, Alkalurops, HR5733, Mu 1 Boo;Triple;15h 24m 29s;+37°22,6';4,3;6,5;108,9
Delta Boo;SAO64589, HD135722, del Boo, 49 Boo, HR5681;Dbl;15h 15m 30s;+33°18,8';3,5;7,9;104,9
Zuben Elgenubi;SAO158840, HD130841, alp Lib, 9 Lib,Zubenelgenubi, HR5531;Triple;14h 50m 53s;-16°02,5';2,8;3,2;
HR5397;SAO158558, HD126367;Triple;14h 25m 30s;-19°58,1';6,6;7,0;35,1
Iota Boo;SAO29071, HD125161, iot Boo, 21 Boo, HR5350, Asellus Secundus;Triple;14h 16m 10s;+51°22,0';4,8;8,2;38,7
Asellus Tertius;SAO29045, HD124674, kap Boo, 17 Boo, Kappa 2 Boo;Dbl;14h 13m 28s;+51°47,2';6,7;8,9;13,4
Cor Caroli;SAO63256, HD112412, alp CVn, 12 CVn,Cor Caroli, HR4914;Dbl;12h 56m 00s;+38°18,8';5,6;8,3;19,4
HD 112278;SAO 100337;Mult+Star+IRSrc;12h 55m 30s;+11°29,7';6,9;;
32 Com;SAO100309, HD111862, 32 Com, HR4884;Triple;12h 52m 12s;+17°04,4';6,3;6,9;196,5
HD 110932;SAO 100236;Mult+Star+UVSrc;12h 45m 26s;+14°22,4';7,2;;
HD 109556;SAO 157384;Mult+Star;12h 35m 44s;-12°01,4';7,9;;
24 Com;SAO100159, HD109510, 24 Com, HR4791;Dbl;12h 35m 06s;+18°22,6';6,6;8,1;20,2
Algorab;SAO157323, HD108767, del Crv, 7 Crv,Algorab, HR4757;Dbl;12h 29m 52s;-16°30,9';3,0;8,2;24,4
12 Com;SAO82273, HD107700, 12 Com, HR4707;Triple;12h 22m 30s;+25°50,7';4,8;8,5;65,3
HR4698;SAO82254, HD107398;Dbl;12h 20m 41s;+27°03,2';7,1;7,2;8,5
2 CVn;SAO44097, HD106690, 2 CVn, HR4666;Dbl;12h 16m 08s;+40°39,6';5,7;8,8;11,4
HD 105590;SAO 157111;Mult+Var Star+Star;12h 09m 29s;-11°51,4';6,6;;
HD 100054;SAO 28043;Mult+Star+UVSrc;11h 31m 19s;+59°42,0';7,3;;
