ID;Name;Type;RA;Dec;Mag;Mag 2;Sep;PosAngle;Catalogue;Spect
WDS19546-0814;57 Aqu, STF2594, CCDM19546-0814, HD188293, BD-08 5154, HIP97966;Dbl;19h 54m 38s;-08°13,6';5,7;6,3;36,3;171;WDS2024_08;B7Vn+B8V
HIP97967;CCDM19546-0814, HD188294, BD-08 5155;Star;19h 54m 38s;-08°14,2';6,5;;;;Hipparcos;B8V
HIP94613;CCDM19153+1505, HD180243, BD+14 3845;Star;19h 15m 14s;+15°04,9';7,6;;;;Hipparcos;A0
WDS19153+1505;STTA178, BD+14 03846, CCDM19153+1505, HD180262;Dbl;19h 15m 20s;+15°05,0';5,7;7,6;89,6;267;WDS2024_08;G8II-III
HIP93716;CCDM19050-0402, HD177442, BD-04 4683;Star;19h 04m 56s;-04°02,4';7,0;;;;Hipparcos;K0
WDS19050-0402;15 Aql, SHJ286, BD-04 04684, HIP93717, HD177463, ASCC1245653;Dbl;19h 04m 58s;-04°01,8';5,5;7,0;39,6;211;WDS2024_08;K0IV
ASCC498543;Mu2 Boo, HIP75415, HD137392, 51 Boo;Star+Var Star+Dbl;15h 24m 31s;+37°20,8';7,0;;;;ASCC;G1V
WDS15245+3723;Mu1 Boo, STFA28,Alkalurops, CCDM15245+3722, HD137391, BD+37 2636;Dbl;15h 24m 30s;+37°22,6';4,3;7,1;109,2;171;WDS2024_08;F2IVa+G0V
WDS20181-1233;Alpha Cap, STFA51, Algedi,Giedi;Dbl;20h 18m 03s;-12°32,6';3,7;4,3;381,2;290;WDS2024_08;G9III
HIP100027;CCDM20176-1231, HD192876, BD-12 5683;Star+Dbl;20h 17m 39s;-12°30,4';4,3;8,5;0,7;355;Hipparcos;G3Ib
WDS20210-1447;Beta Cap, STFA52, Dabih;Dbl;20h 21m 01s;-14°46,8';3,2;6,1;205,2;266;WDS2024_08;F8V+A0
HIP100325;CCDM20210-1447, HD193452, BD-15 5626;Star+Dbl;20h 20m 47s;-14°47,0';6,1;9,1;0,7;75;Hipparcos;B9.5III/IV
WDS20289-1749;Rho Cap, SHJ323;Dbl;20h 28m 52s;-17°48,8';5,0;6,7;258,7;150;WDS2024_08;F3V
HIP101040;CCDM20289-1750, HD194960, BD-18 5691;Star;20h 29m 01s;-17°52,5';6,6;;;;Hipparcos;K0III
WDS20299-1835;Omicron Cap, SHJ324, BD-19 05831;Dbl;20h 29m 54s;-18°35,0';5,9;6,7;22,0;238;WDS2024_08;A3Vn+A7V
HIP101120;CCDM20299-1835, HD195093, BD-19 5830;Star+Dbl;20h 29m 53s;-18°35,1';6,7;6,7;;;Hipparcos;A7/A8V
WDS22292+5825;Delta Cep, STFA58, BD+57 02547;Dbl;22h 29m 10s;+58°24,9';4,2;6,1;41,0;191;WDS2024_08;F5Iab+B7
HIP110988;CCDM22292+5825, HD213307, BD+57 2547;Star;22h 29m 09s;+58°24,2';6,3;;;;Hipparcos;A0
WDS16224+3348;Nu CrB, STFA29, BD+34 02773;Dbl;16h 22m 21s;+33°47,9';5,4;5,6;354,7;164;WDS2024_08;M2IIIab
TYC2583-02106-1;;Star;16h 22m 29s;+33°42,2';5,6;;;;Tycho2;K5III
WDS19418+5032;16 Cyg, STFA46, BD+50 02847;Dbl;19h 41m 49s;+50°31,5';6,0;6,2;40,0;133;WDS2024_08;G1.5V
HIP96901;CCDM19418+5031, HD186427, BD+50 2848;Star;19h 41m 52s;+50°31,0';6,2;;;;Hipparcos;G5V
WDS20136+4644;STFA50;Dbl;20h 13m 38s;+46°44,4';3,9;4,8;336,7;322;WDS2024_08;K2II
ASCC348746;HIP99639, HD192514, 30 Cyg;Star+Var Star+Dbl;20h 13m 18s;+46°48,9';4,8;;;;ASCC;A5IIIn
HIP99676;CCDM20135+4646, HD192579, BD+46 2883;Star;20h 13m 39s;+46°42,7';7,0;;;;Hipparcos;B9
ASCC710944;HIP95951, HD183914, bet Cyg, 6 Cyg;Star+Var Star+Dbl;19h 30m 45s;+27°57,9';5,1;;;;ASCC;B8V
WDS19307+2758;STFA43,Albireo;Dbl;19h 30m 43s;+27°57,5';3,2;4,7;34,5;53;WDS2024_08;K3II+B9.5
WDS20145+3648;29 Cyg, ENG72, BD+36 03955;Dbl;20h 14m 32s;+36°48,3';5,0;6,7;215,3;155;WDS2024_08;A2V
HIP99777;CCDM20146+3647, HD192661, BD+36 3959;Star;20h 14m 40s;+36°45,1';6,6;;;;Hipparcos;G8III
WDS20375+3134;48 Cyg, STFA53, BD+31 04159;Dbl;20h 37m 32s;+31°34,3';6,3;6,5;182,7;177;WDS2024_08;B8III+F0V
HIP101768;CCDM20375+3133, HD196629, BD+31 4160;Star;20h 37m 33s;+31°31,3';6,5;;;;Hipparcos;F0V
WDS21069+3845;61 Cyg, STF2758, BD+38 04343;Dbl;21h 06m 54s;+38°45,0';5,3;6,1;32,0;154;WDS2024_08;K5V+K7V
HIP104217;CCDM21069+3844, HD201092, BD+38 4344;Star+Var Star;21h 06m 52s;+38°44,0';6,1;6,2;;;Hipparcos;K7V
WDS21441+2845;Mu Cyg, STF2822, HIP107310;Dbl;21h 44m 09s;+28°44,5';4,8;6,9;197,0;43;WDS2024_08;F6V+F2V
HIP107326;CCDM21442+2845, HD206874, BD+28 4171;Star;21h 44m 19s;+28°46,9';6,9;;;;Hipparcos;A5
WDS21434+3817;79 Cyg, S799, BD+37 04408;Dbl;21h 43m 26s;+38°17,0';5,7;7,0;149,5;60;WDS2024_08;A0V
HIP107268;CCDM21435+3818, HD206807;Star;21h 43m 37s;+38°18,2';7,0;;;;Hipparcos;A0
WDS20302+1925;S752, BD+18 04515;Dbl;20h 30m 14s;+19°25,2';6,8;7,3;106,3;288;WDS2024_08;B7IV
HIP101143;CCDM20302+1925, HD195341, BD+18 4515;Star+Dbl;20h 30m 07s;+19°25,8';7,3;7,3;;;Hipparcos;B9
WDS18239+5848;39 Dra, STF2323, BD+58 01810;Dbl;18h 23m 55s;+58°48,0';5,1;7,9;89,2;19;WDS2024_08;A1V
ASCC200908;HD238865;Star+Var Star+Dbl;18h 23m 58s;+58°49,4';7,9;;;;ASCC;F8
WDS17322+5511;Nu Dra, STFA35, BD+55 01945;Dbl;17h 32m 16s;+55°10,3';4,9;4,9;62,3;311;WDS2024_08;A4m+A6V
HIP85819;CCDM17322+5511, HD159541, BD+55 1944;Star;17h 32m 10s;+55°11,0';4,9;;;;Hipparcos;Am...
WDS21103+1008;Gamma Equ, STFA54, BD+09 04735;Dbl;21h 10m 20s;+10°07,9';4,7;6,1;335,0;152;WDS2024_08;A9V
HIP104538;CCDM21104+1007, HD201616, BD+09 4735;Star+Dbl;21h 10m 31s;+10°02,9';6,1;6,1;;;Hipparcos;A2Vs
WDS17037+1336;STFA33, BD+13 03292;Dbl;17h 03m 39s;+13°36,3';5,9;6,2;304,9;117;WDS2024_08;A1V+K1III
HIP83504;CCDM17038+1335, HD154278, BD+13 3295;Star;17h 03m 58s;+13°34,0';6,1;;;;Hipparcos;K1III
TYC0988-01149-1;SAO102565;Star;17h 03m 42s;+13°40,1';8,6;;;;Tycho2;G0
