Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Abell 12;PN;06:02:20.05;+09:39:14.09;;0.62;0.62;;;12.50;;;;;;;;;;;;;;;;;;;PN A66 12;;;SIMBAD+V/84
Abell 13;PN;06:04:47.90;+03:56:35.76;;2.54;2.54;;;19.87;;;;;;;;;;;;;;;;;;;PN A66 13;;;SIMBAD+V/84
Abell 14;PN;06:11:08.66;+11:46:43.82;;0.55;0.55;;;15.24;;;;;;;;;;;;;;;;;;;PN A66 14;;;SIMBAD+V/84
Abell 15;PN;06:27:02.04;-25:22:49.70;;0.57;0.57;;;16.38;;;;;;;;;;;;;;;;;;;PN A66 15;;;SIMBAD+V/84
Abell 16;PN;06:43:55.42;+61:47:24.66;;2.35;2.35;;;18.71;;;;;;;;;;;;;;;;;;;PN A66 16;;;SIMBAD+V/84
Abell 18;PN;06:56:14.66;-02:53:07.81;;1.22;1.22;;;20.90;;;;;;;;;;;;;;;;;;;PN A66 18;;;SIMBAD+V/84
Abell 19;PN;06:59:56.43;+14:36:33.97;;1.12;1.12;;;;;;;;;;;;;;;;;;;;;;PN A66 19;;;SIMBAD+V/84
Abell 20;PN;07:22:57.67;+01:45:33.94;;1.12;1.12;;;14.28;;;;;;;;;;;;;;;;;;;PN A66 20;;;SIMBAD+V/84
Abell 21;PN;07:29:02.71;+13:14:48.59;;10.25;10.25;;;11.84;;;;;;;;;;;;;;;;;;;PN A66 21;;;SIMBAD+V/84
Abell 23;PN;07:43:17.98;-34:45:15.64;;0.90;0.90;;;;;;;;;;;;;;;;;;;;;;PN A66 23;;;SIMBAD+V/84
Abell 24;PN;07:51:37.55;+03:00:21.16;;5.91;5.91;;;14.58;;;;;;;;;;;;;;;;;;;PN A66 24;;;SIMBAD+V/84
Abell 26;PN;08:09:01.64;-32:40:24.91;;0.67;0.67;;;11.58;;;;;;;;;;;;;;;;;;;PN A66 26;;;SIMBAD+V/84
Abell 28;PN;08:41:35.55;+58:13:48.38;;4.47;4.47;;;16.56;;;;;;;;;;;;;;;;;;;PN A66 28;;;SIMBAD+V/84
Abell 29;PN;08:40:18.92;-20:54:36.62;;6.67;;;;18.35;;;;;;;;;;;;;;;;;;;PN A66 29;;;SIMBAD+V/84
Abell 30;PN;08:46:53.46;+17:52:46.37;;0.29;0.13;75;;13.04;;;;;;;;;;;;;;;;;;;PN A66 30;;;SIMBAD+V/84
Abell 31;PN;08:54:13.16;+08:53:52.94;;16.20;16.20;;;15.54;;;;;;;;;;;;;;;;;;;PN A66 31;;;SIMBAD+V/84
Abell 33;PN;09:39:09.14;-02:48:30.49;;4.47;4.47;;;13.14;;;;;;;;;;;;;;;;;;;PN A66 33;;;SIMBAD+V/84
