ID;Name;Type;RA;Dec;Mag
17911;The Ind,SAO246965;Dbl;21h 19m 52s;-53°27,0';4,4
100 Her;STF 2280;Mult;18h 07m 50s;+26°06,0';5,9
12 Lyn;STF 948;Mult;06h 46m 14s;+59°26,5';4,9
15 Aql;Sh 286;Dbl;19h 04m 58s;-04°01,8';5,4
16 Cyg;SAO 31899;Dbl;19h 41m 52s;+50°31,0';6,2
3 Cen;SAO 204917;Dbl;13h 51m 50s;-32°59,6';6,1
32 Cam;STF 1694;Dbl;12h 49m 12s;+83°25,0';5,3
32 Eri;STF 470;Triple;03h 54m 17s;-02°57,1';6,1
36 Oph;Sh 243;Mult;17h 15m 21s;-26°36,1';5,1
38 Lyn;STF 1334;Mult;09h 18m 51s;+36°48,1';3,8
41 Dra;STF 2308;Triple;18h 00m 09s;+80°00,2';5,7
54 Leo;STF 1487;Dbl;10h 55m 37s;+24°44,9';6,3
56 And;STF I 4;Mult;01h 56m 09s;+37°15,1';5,7
57 Aql;STF 2594;Dbl;19h 54m 36s;-08°14,0';5,7
6 Tri;STF 227;Dbl;02h 12m 22s;+30°18,1';5,2
61 Cyg;STF 2758;Dbl+Var Star;21h 06m 55s;+38°44,7';5,2
70 Oph;STF 2272;Mult;18h 05m 27s;+02°30,0';4,0
8 Lac;STF 2922;Mult;22h 35m 52s;+39°38,0';5,7
94 Aqr;STF 2998;Triple;23h 19m 07s;-13°27,5';5,1
ADS5951;WDS 07166-2319;Dbl;07h 16m 37s;-23°18,9';5,0
Alp Cap;ALDS 88;Dbl;20h 18m 06s;-12°33,0';3,6
Alp Cen;SAO 252838;Triple;14h 39m 36s;-60°50,1';0,0
Alp CMa;SAO 151881;Mult;06h 45m 09s;-16°43,0';-1,5
Alp Cru;SAO 251904;Dbl;12h 26m 36s;-63°05,9';1,3
Alp CVn;ALDS49;Dbl;12h 56m 00s;+38°19,0';2,9
Alp For;h 3555;Dbl;03h 12m 04s;-28°59,2';3,9
Alp Gem;STF 1110;Mult;07h 34m 36s;+31°53,3';2,9
Alp Her;STF 2140;Mult;17h 14m 39s;+14°23,4';3,5
Alp Leo;Regulus;Mult;10h 08m 22s;+11°58,0';1,4
Alp Lib;Sh 186;Triple;14h 50m 53s;-16°02,5';2,8
Alp Lyr;H V 39;Dbl;18h 36m 56s;+38°47,0';0,0
Alp Psc;STF 202;Dbl+Var Star;02h 02m 03s;+02°45,8';4,3
Alp Sco;Burg/Grant (no #);Dbl;16h 29m 24s;-26°25,9';1,0
Alp Umi;STF 93;Mult;02h 31m 49s;+89°15,8';2,0
Bet Cen;SAO 252582,;Dbl;14h 03m 49s;-60°22,3';0,6
Bet Cep;STF 2805;Dbl;21h 28m 42s;+70°34,0';3,2
Bet Cyg;SAO 87301;Dbl;19h 30m 42s;+27°58,0';3,1
Bet Lyr;STF I 39;Mult;18h 50m 05s;+33°21,7';3,5
Bet Mon;STF 919;Mult;06h 28m 49s;-07°02,0';4,6
Bet Mus;R 207;Dbl+Var Star;12h 46m 17s;-68°06,4';3,0
Bet Ori;STF668;Dbl+Var Star;05h 14m 32s;-08°12,1';0,1
Bet Sco;H III 7;Mult;16h 05m 26s;-19°48,3';2,6
Bet Tuc;Lac 119;Mult;00h 31m 33s;-62°57,4';4,4
Del Cen;;Dbl;12h 08m 22s;-50°43,3';2,6
Del Cep;ALDS97;Dbl;22h 29m 12s;+58°25,0';3,9
Del Crv;Sh 145;Dbl;12h 29m 54s;-16°31,0';3,0
Del Cyg;STF 2579;Dbl;19h 44m 59s;+45°07,8';2,9
Del Gem;STF 1066;Triple;07h 20m 07s;+21°58,9';3,5
Del Her;STF 3127;Mult;17h 15m 02s;+24°50,3';3,1
Del Lyr;Sh 586;Dbl;18h 53m 44s;+36°58,3';5,6
Del Ori;STF I 14;Triple;05h 32m 00s;-00°18,0';2,2
Del Ser;STF 1954;Mult;15h 34m 48s;+10°32,2';3,8
Eps Boo;Izar;Dbl;14h 45m 00s;+27°04,0';2,5
Eps CMa;ALDS 33;Dbl;06h 58m 36s;-28°58,0';1,5
