id,constelacion,ra_grados,dec_grados,mag
Berk58,Cassiopeia,0.05417,60.945,9.7
Berk59,Cepheus,0.54167,67.41833,
K13,Cassiopeia,2.525,61.21667,
Berk2,Cassiopeia,6.3125,60.38667,
K14,Cassiopeia,7.975,63.16667,8.5
NGC225,Cassiopeia,10.9125,61.775,7.0
K16,Cassiopeia,10.925,64.18333,10.3
NGC188,Cepheus,11.86667,85.25333,8.1
NGC581,Cassiopeia,23.34583,60.65,7.4
Tr1,Cassiopeia,23.91667,61.285,8.1
Cr463,Cassiopeia,27.1,71.95,5.7
St4,Perseus,28.2,57.06667,
Cr26,Cassiopeia,38.175,61.45,6.5
Tr2,Perseus,39.325,55.98333,5.9
NGC1027,Cassiopeia,40.66667,61.595,6.7
SAC468,Aries,41.85,17.2,
IC1848,Cassiopeia,42.825,60.40667,6.5
Cr34,Cassiopeia,45.225,60.41667,6.8
Tr3,Cassiopeia,47.95,63.25,7.0
St23,Camelopardalis,49.075,60.03333,
NGC1342,Perseus,52.90833,37.37667,6.7
IC348,Perseus,56.14167,32.16167,7.3
SAC10180,Camelopardalis,56.95,59.05,8.4
NGC1444,Perseus,57.35417,52.65667,6.6
K7,Perseus,59.75,51.8,
NGC1496,Perseus,61.13333,52.66167,10.0
NGC1502,Camelopardalis,61.95833,62.33,5.7
NGC1662,Orion,72.1125,10.935,6.4
NGC1746,Taurus,75.95833,23.77,6.0
NGC1807,Taurus,77.67917,16.52167,7.0
SAC2738,Auriga,77.925,47.7,
NGC1893,Auriga,80.6875,33.41167,7.5
NGC1912,Auriga,82.16667,35.84667,6.4
SAC470,Taurus,83.425,26.48333,
Cr69,Orion,83.775,9.93333,2.8
NGC1981,Orion,83.7875,-4.43167,4.6
SAC471,Taurus,83.975,25.95,
NGC2141,Orion,90.72917,10.44667,9.4
NGC2158,Gemini,91.85417,24.095,8.6
NGC2169,Orion,92.1,13.965,5.9
NGC2232,Monoceros,97.00417,-4.84667,3.9
NGC2244,Monoceros,97.98333,4.94167,4.8
SAC9916,Canis Major,99.1,-14.18333,
SAC9918,Canis Major,100.525,-29.45,
Berk30,Monoceros,104.425,3.21667,
SAC9922,Canis Major,104.65,-12.91667,
NGC2353,Monoceros,108.625,-10.26667,7.1
Tr6,Canis Major,111.525,-24.3,10.0
Tr7,Puppis,111.825,-24.03333,7.9
NGC2422,Puppis,114.14583,-14.48333,4.4
Mel71,Puppis,114.375,-12.06667,7.1
NGC2439,Puppis,115.1875,-31.69167,6.9
NGC2453,Puppis,116.89583,-27.19333,8.3
Tr9,Puppis,118.825,-25.93333,8.7
NGC2548,Hydra,123.42917,-5.75,5.8
NGC2632,Cancer,130.1,19.66667,3.1
NGC2682,Cancer,132.825,11.8,6.9
SAC449,Ophiuchus,249.125,-8.95,
Tr26,Ophiuchus,262.125,-29.48333,9.5
Cr333,Scorpius,262.825,-34.08333,9.8
NGC6383,Scorpius,263.675,-32.58,5.5
Tr27,Scorpius,264.05,-33.48333,6.7
Tr28,Scorpius,264.2,-32.65,7.7
NGC6416,Scorpius,266.07917,-32.36167,5.7
Cr347,Sagittarius,266.6,-29.3,8.8
IC4665,Ophiuchus,266.625,5.65,4.2
NGC6475,Scorpius,268.4625,-34.79333,3.3
NGC6520,Sagittarius,270.85,-27.88667,8.0
NGC6530,Sagittarius,271.12917,-24.35833,4.6
SAC476,Hercules,272.2,31.53333,
Tr32,Serpens,274.375,-13.35,12.2
NGC6604,Serpens,274.5125,-12.24167,6.5
Tr33,Sagittarius,276.2,-19.68333,7.8
NGC6649,Scutum,278.3625,-10.40333,8.9
Tr35,Scutum,280.725,-4.13333,9.2
NGC6694,Scutum,281.325,-9.38333,8.0
