Id;Name;Type;RA;Dec;Mag 1;Mag 2;Sep;PosAngle;Spect 1;Spect 2;Catalogue
DBL0001;HR9094,SAO10937,HD225009,STF3053,STF 3053;Triple;00h 02m 36s;+66°05,9';5,9;7,4;15,2;;;;RASC|CDSA
DBL0002;WDS00141+7601,STTA1,BD+75 00004;Dbl;00h 14m 03s;+76°01,6';7,4;7,8;73,2;103;M;;WDS
DBL0003;Bet Tuc,Lac 119;Mult;00h 31m 33s;-62°57,4';4,4;;;;;;CDSA
DBL0004;Pi And,SAO54033,HD3369,29 And,HR154;Triple;00h 36m 53s;+33°43,1';4,4;8,6;35,2;;;;RASC
DBL0005;WDS00405+5632,H518,BD+55 00138,Shedar;Dbl;00h 40m 30s;+56°32,2';2,3;9,0;70,9;283;K0;;WDS
DBL0006;Eta Cas,24 Cas,SAO21732,HR219,HD4614,Achird,STF 60;Mult;00h 49m 06s;+57°48,9';3,4;7,4;11,6;;;;AL|RASC|CDSA
DBL0007;65 Psc,SAO74295,HR230,HD4757;Dbl;00h 49m 53s;+27°42,6';7,0;7,0;4,5;;;;AL
DBL0008;Psi Psc,74 Psc,SAO74482,HR310,HD6456,Psi Pic,STF 88,WDS01057+2128,STF88,BD+20 00156,HIP5132,CCDM01057+2128,HD6457,BD+20  157;Triple;01h 05m 41s;+21°28,3';5,3;5,6;29,9;159;B9.5V;A0V;AL|CDSA|WDS
DBL0009;77 Psc,SAO109666,HD6479,HR313;Mult;01h 05m 49s;+04°54,4';6,3;7,3;33,0;;;;RASC
DBL0010;Zet Psc,86 Psc,SAO109739,HR361,HD7344,STF 100;Mult;01h 13m 44s;+07°34,5';5,2;5,3;0,1;;;;AL|CDSA
DBL0011;WDS01144-0755,37 Cet,STFA3,BD-08 00216;Dbl;01h 14m 24s;-07°55,3';5,2;7,8;49,4;331;F6V;G9V;WDS
DBL0012;HIP6229,CCDM01200+5813,HD7902,BD+57  257;Star+Var Star;01h 19m 52s;+58°12,4';7,1;7,1;;;B6Ib;;WDS
DBL0013;WDS01201+5814,Phi Cas,H323,BD+57 00257;Dbl;01h 20m 05s;+58°13,8';5,1;7,0;134,1;231;B5;;WDS
DBL0014;ASCC832235,HIP6706,HD8723,Rho Psc,93 Psc;Star+Var Star;01h 26m 15s;+19°10,3';5,3;;447,0;57;F2V:var;;WDS
DBL0015;Rho Eri,Dunlop 5;Dbl;01h 40m 10s;-56°12,7';5,8;;;;;;CDSA
DBL0016;HIP8486,CCDM01495-1042,HD11131,BD-11  351;Star+Dbl;01h 49m 23s;-10°42,1';6,7;6,7;;;G0;;WDS
DBL0017;WDS01496-1041,Chi Cet,ENG8,BD-11 00352;Dbl;01h 49m 35s;-10°41,1';4,7;6,8;184,1;250;F0V;G3V;WDS
DBL0018;Gam Ari,5 Ari,SAO92680,HR545,HD11503,Mesarthim,STF180;Triple;01h 53m 32s;+19°17,7';4,8;4,9;7,8;;;;AL|RASC|CDSA
DBL0019;WDS01562+3715,BU1368,BD+36 00349;Dbl;01h 55m 54s;+37°16,6';6,1;9,8;204,4;258;gM0;;WDS
DBL0020;56 And,SAO55107,HD11749,HR557,STF I 4,WDS01562+3715,STFA4;Mult;01h 56m 09s;+37°15,1';5,7;5,9;190,4;298;K0III;gM0;RASC|CDSA|WDS
DBL0021;Lam Ari,9 Ari,SAO75051,HR569,HD11973,H V 12 = O SST 21;Mult;01h 57m 56s;+23°35,7';4,8;7,3;37,4;;;;AL|CDSA
DBL0022;Alp Psc,113 Psc,HR595,HD12446,STF 202;Dbl;02h 02m 03s;+02°45,8';5,2;6,2;2,0;;;;AL|CDSA
DBL0023;Gam And,57 And,SAO37734,HR603,HD12533,Almaak,Alamach,Almach;Mult;02h 03m 54s;+42°19,7';2,3;5,1;9,6;;;;AL|RASC|CDSA
DBL0024;WDS02094+2556,14 Ari,H669,CCDM02094+2557,HD13174,BD+25  355,HIP10053;Dbl;02h 09m 25s;+25°56,3';5,0;8,0;106,0;279;F2III;;WDS
DBL0025;59 And,SAO55330,HD13294,HR628,WDS02109+3902,STF222,BD+38 00425;Dbl;02h 10m 53s;+39°02,3';5,6;6,4;16,2;36;B9V;A1Vn;RASC|WDS
DBL0026;6 Tri,SAO55347,HR642,HD13480,STF 227;Dbl;02h 12m 22s;+30°18,1';4,9;6,5;3,8;;;;AL|CDSA
DBL0027;66 Cert,SAO129752,HD13612,66 Cet,HR650;Triple;02h 12m 47s;-02°23,6';5,5;7,6;16,4;;;;RASC
DBL0028;Iot Cas,STF 262;Dbl;02h 29m 04s;+67°24,1';4,5;;;;;;CDSA
DBL0029;Alp UMi,1 UMi,SAO308,HR424,HD8890,Polaris,Alrucaba,STF 93;Mult;02h 31m 49s;+89°15,8';2,0;8,8;18,4;;;;AL|RASC|CDSA
DBL0030;15 Tri,SAO55687,HD16058,HR750,WDS02358+3441,AG304,BD+34 00469;Dbl;02h 35m 47s;+34°41,2';5,3;6,6;141,3;16;M3IIIa;;RASC|WDS
DBL0031;Nu Cet,SAO110635,HD16161,78 Cet,HR754;Dbl;02h 35m 52s;+05°35,5';4,9;9,7;8,1;;;;RASC
DBL0032;WDS02407+2704,33 Ari,STF289,CCDM02407+2704,HD16628,BD+26  443,HIP12489;Dbl;02h 40m 41s;+27°03,6';5,3;9,6;28,3;1;A3V;;WDS
DBL0033;Gam Cet,86 Cet,SAO110707,HR804,HD16970,STF 299;Triple;02h 43m 18s;+03°14,1';3,5;6,2;2,8;;;;AL|CDSA
DBL0034;Eta Per,15 Per,SAO23655,HR834,HD17506,miram,STF 307;Mult;02h 50m 42s;+55°53,7';3,8;8,5;28,3;;;;AL|RASC|CDSA
DBL0035;The Eri,Piazzi (no #);Dbl;02h 58m 16s;-40°18,2';3,2;;;;;;CDSA
DBL0036;Struve 331;Dbl;03h 00m 54s;+52°21,0';5,3;6,7;12,3;;;;AL
DBL0037;Alp For,h 3555;Dbl;03h 12m 04s;-28°59,2';3,9;;;;;;CDSA
DBL0038;WDS03459+2433,21 Tau,HJL1026,Sterope;Dbl;03h 45m 54s;+24°33,2';5,8;6,4;149,6;130;B8V;;WDS
DBL0039;WDS03475+2406,Eta Tau,STFA8,BD+23 00541,Alcyone;Dbl;03h 47m 29s;+24°06,3';2,8;6,3;117,6;291;B7III;A4V;WDS
DBL0040;f Eri,Dunlop 16;Dbl;03h 48m 36s;-37°37,0';4,8;;;;;;CDSA
DBL0041;Zeta Per,SAO56799,HD24398,zet Per,44 Per,Atik,HR1203;Mult;03h 54m 08s;+31°53,0';2,8;9,4;12,9;;;;RASC
DBL0042;32 Eri,SAO130805,HR1211,HD24554,STF 470;Triple;03h 54m 17s;-02°57,1';6,1;7,6;6,8;;;;AL|CDSA
DBL0043;Keid,SAO131063,HD26965,omi Eri,40 Eri,O2 Eri,STF518;Mult;04h 15m 16s;-07°39,1';4,4;9,4;83,4;;;;RASC|CDSA
DBL0044;WDS04204+2721,Phi Tau,SHJ40,BD+27 00655;Dbl;04h 20m 21s;+27°21,0';5,1;7,5;48,7;259;K2III;;WDS
DBL0045;Chi Tau,59 Tau,SAO76573,HR1369,HD27638;Triple;04h 22m 35s;+25°37,7';5,4;8,4;19,4;;;;AL
DBL0046;HIP20531,CCDM04240+2419,BD+23  683;Star+Dbl;04h 23m 58s;+24°18,2';8,2;8,2;;;A1Vp;;WDS
DBL0047;WDS04240+2418,62 Tau,STF534,BD+23 00684;Dbl;04h 24m 00s;+24°18,0';6,4;7,9;29,1;291;B3V;A1V;WDS
DBL0048;WDS04254+2218,Kappa Tau,STF541,BD+21 00642;Dbl;04h 25m 22s;+22°17,6';4,2;5,3;339,4;174;A7IV/V;;WDS
DBL0049;The Tau,STF I 10;Mult;04h 28m 35s;+15°57,7';3,8;;;;;;CDSA
DBL0050;WDS04287+1552,Theta 2 Tau,STFA10,BD+15 00632;Dbl;04h 28m 40s;+15°52,2';3,4;3,9;336,9;347;A7III;;WDS
DBL0051;1 Cam,SAO24672,HR1417,HD28446;Triple;04h 32m 02s;+53°54,6';5,8;6,9;10,3;;;;AL|RASC
DBL0052;WDS04334+4304,57 Per,SHJ44,BD+42 00990;Dbl;04h 33m 25s;+43°03,8';6,1;6,8;121,4;197;F0V;;WDS
DBL0053;WDS04357+1010,88 Tau,SHJ45;Dbl;04h 35m 39s;+10°09,6';4,3;7,8;69,2;300;A5m;;WDS
DBL0054;HIP21673,Sigma 1 Tau,CCDM04392+1552,HD29479,BD+15  665;Star+Dbl;04h 39m 09s;+15°48,0';5,1;5,1;;;A4m;;WDS
DBL0055;WDS04393+1555,Sigma 2 Tau,STFA11,BD+15 00666;Dbl;04h 39m 17s;+15°55,0';4,7;5,1;444,0;194;A5Vn;A4m;WDS
DBL0056;WDS04422+2257,Tau Tau,S455,BD+22 00737;Dbl;04h 42m 15s;+22°57,4';4,2;7,0;62,5;214;B3V;;WDS
DBL0057;55 Eri,SAO131442,HR1505,HD30020;Dbl;04h 43m 35s;-08°47,6';6,8;6,9;9,3;;;;AL
DBL0058;Iot Pic,Dunlop 18;Dbl;04h 50m 55s;-53°27,6';5,6;;;;;;CDSA
DBL0059;WDS04564-0510,62 Eri,SHJ48,BD-05 01091;Dbl;04h 56m 24s;-05°10,2';5,5;8,9;66,1;76;B6V;;WDS
DBL0060;Beta Cam,SAO13351,HD31910,bet Cam,10 Cam,WDS05034+6027,S459,BD+60 00856,HIP23522,ASCC118306;Triple;05h 03m 25s;+60°26,5';4,0;7,4;80,8;209;G1I;A5;RASC|WDS
DBL0061;WDS05061+5858,11 Cam,STFA13,BD+58 00804,HIP23734,HD32343;Dbl;05h 06m 08s;+58°58,3';5,2;6,2;177,7;10;B2.5Ve;;WDS
DBL0062;Rho Ori,SAO112528,HD33856,17 Ori;Triple;05h 13m 17s;+02°51,6';4,5;8,4;6,9;;;;RASC
DBL0063;Bet Ori,19 Ori,SAO131907,HR1713,HD34085,STF668;Mult;05h 14m 32s;-08°12,1';0,1;6,6;9,5;;;;AL|CDSA
DBL0064;Eta Ori,Dawes 5;Dbl;05h 24m 29s;-02°23,8';3,4;;;;;;CDSA
DBL0065;118 Tau,SAO77201,HR1821,HD35943;Triple;05h 29m 16s;+25°09,0';5,5;6,3;4,8;;;;AL
