nombre,alt,ra_grados,dec_grados,re_arcsec,razon_ejes,pa_grados,mag_v,sersic_n,frac_bulbo,polvo,n_medido
WLM,MCG -3- 1- 15,0.48708,-15.45028,286.38,0.347,4,10.48,1.0,0.03,1,0.0
NGC 7814,UGC 8,0.81292,16.14583,74.91,0.417,135,10.81,1.0,0.3,0,4.64
NGC 14,UGC 75,2.19333,15.815,52.66,0.741,25,12.16,1.0,0.03,0,1.58
NGC 16,UGC 80,2.26958,27.73028,5.1,0.537,16,12.1,4.0,1.0,0,0.0
NGC 23,UGC 89,2.47333,25.92306,32.73,0.646,8,12.1,1.0,0.5,0,0.0
NGC 24,ESO 472- 16,2.48583,-24.96194,77.59,0.234,46,11.64,1.0,0.15,1,1.09
NGC 25,ESO 149- 19,2.49958,-57.02,20.52,0.589,88,12.1,4.0,1.0,0,0.0
NGC 45,ESO 473- 1,3.51333,-23.18361,136.91,0.692,142,10.77,1.0,0.03,0,1.51
NGC 55,ESO 293- 50,3.78542,-39.22028,305.33,0.174,108,7.87,1.0,0.03,1,0.0
NGC 57,UGC 145,3.87917,17.32667,45.93,0.851,40,11.77,4.0,1.0,0,0.0
IC 10,UGC 192,5.1025,59.29167,386.79,0.813,0,11.26,1.0,0.03,0,0.0
NGC 128,UGC 292,7.3125,2.86528,25.42,0.302,1,11.87,4.0,0.6,0,0.0
,ESO 194- 21,7.42625,-51.51861,16.87,0.871,112,11.25,4.0,1.0,0,0.0
NGC 134,ESO 350- 23,7.5925,-33.24556,101.38,0.24,50,10.48,1.0,0.15,1,1.14
,ESO 79- 3,8.00875,-64.2525,56.26,0.155,134,11.84,1.0,0.3,1,1.11
NGC 147,UGC 326,8.29833,48.50778,200.5,0.589,25,9.57,4.0,1.0,0,0.0
NGC 151,MCG -2- 2- 54,8.51167,-9.70556,55.12,0.457,75,11.56,1.0,0.15,0,0.0
NGC 150,ESO 410- 19,8.56583,-27.805,50.63,0.479,118,11.25,1.0,0.3,0,7.73
NGC 157,MCG -2- 2- 56,8.69375,-8.39667,75.18,0.646,30,10.25,1.0,0.15,0,0.74
IC 1558,ESO 474- 2,8.95,-25.37306,99.18,0.724,150,12.06,1.0,0.03,0,0.0
NGC 175,ESO 540- 6,9.34167,-19.93667,41.04,0.871,0,12.15,1.0,0.3,0,0.0
NGC 185,UGC 396,9.74167,48.33833,123.63,0.851,35,9.2,4.0,1.0,0,0.0
NGC 205,UGC 426,10.09375,41.68639,238.3,0.501,170,8.02,4.0,1.0,0,0.0
NGC 210,MCG -2- 2- 81,10.14542,-13.87389,115.68,0.661,165,10.85,1.0,0.3,0,6.64
NGC 214,UGC 438,10.3675,25.49972,24.33,0.741,35,12.42,1.0,0.15,0,0.0
NGC 221,UGC 452,10.67458,40.86528,41.89,0.741,170,8.13,4.0,1.0,0,0.0
NGC 224,UGC 454,10.685,41.26889,2158.72,0.324,35,3.61,1.0,0.3,1,0.0
NGC 247,ESO 540- 22,11.78625,-20.76056,354.86,0.324,174,9.12,1.0,0.08,1,1.16
NGC 254,ESO 411- 15,11.865,-31.42056,61.61,0.617,137,11.72,4.0,0.6,0,8.63
NGC 253,ESO 474- 29,11.88792,-25.28833,400.04,0.245,52,7.49,1.0,0.15,1,1.27
NGC 255,MCG -2- 3- 17,11.9475,-11.46889,51.42,0.832,0,11.61,1.0,0.15,0,1.48
NGC 266,UGC 508,12.45083,32.27861,57.31,0.977,0,11.79,1.0,0.3,0,0.0
NGC 278,UGC 528,13.01917,47.55,25.31,0.955,0,10.72,1.0,0.3,0,0.0
SMC,ESO 29- 21,13.15875,-72.80028,3712.55,0.589,45,2.15,1.0,0.03,0,0.0
