id,nombre,ra_grados,dec_grados,rc_arcmin,rh_arcmin,concentracion,mu_v_central,v_total,d_kpc,ebv,feh,elipticidad
NGC 104,47 Tuc,6.02363,-72.08128,0.36,3.17,2.07,14.38,3.95,4.5,0.04,-0.72,0.09
NGC 288,,13.1885,-26.58261,1.35,2.23,0.99,20.05,8.09,8.9,0.03,-1.32,
NGC 362,,15.80942,-70.84878,0.18,0.82,1.76,14.8,6.4,8.6,0.05,-1.26,0.01
NGC 1261,,48.06754,-55.21622,0.35,0.68,1.16,17.73,8.29,16.3,0.01,-1.27,0.07
Pal 1,,53.3335,79.58106,0.01,0.46,2.57,20.93,13.18,11.1,0.15,-0.65,0.22
AM 1,E 1,58.75958,-49.61528,0.17,0.41,1.36,23.62,15.72,123.3,0.0,-1.7,
Eridanus,,66.18542,-21.18694,0.25,0.46,1.1,22.81,14.7,90.1,0.02,-1.43,
Pal 2,,71.52463,31.3815,0.17,0.5,1.53,19.06,13.04,27.2,1.24,-1.42,0.05
NGC 1851,,78.52817,-40.04656,0.09,0.51,1.86,14.25,7.14,12.1,0.02,-1.18,0.05
NGC 1904,M 79,81.04621,-24.52472,0.16,0.65,1.7,16.02,7.73,12.9,0.01,-1.6,0.01
NGC 2298,,102.24754,-36.00531,0.31,0.98,1.38,18.9,9.29,10.8,0.14,-1.92,0.08
NGC 2419,,114.53529,38.88244,0.32,0.89,1.37,19.67,10.41,82.6,0.08,-2.15,0.03
NGC 2808,,138.01292,-64.8635,0.25,0.8,1.56,15.08,6.2,9.6,0.22,-1.14,0.12
E 3,,140.23779,-77.28189,1.87,2.1,0.75,23.1,11.35,8.1,0.3,-0.83,
Pal 3,,151.38292,0.07167,0.41,0.65,0.99,23.26,14.26,92.5,0.04,-1.63,
NGC 3201,,154.40342,-46.41247,1.3,3.1,1.29,19.0,6.75,4.9,0.24,-1.59,0.12
Pal 4,,172.32,28.97358,0.33,0.51,0.93,23.01,14.2,108.7,0.01,-1.41,
NGC 4147,,182.52625,18.54264,0.09,0.48,1.83,17.38,10.32,19.3,0.02,-1.8,0.08
NGC 4372,,186.43917,-72.659,1.75,3.91,1.3,20.58,7.24,5.8,0.39,-2.17,0.15
Rup 106,,189.6675,-51.15028,1.0,1.05,0.7,21.82,10.9,21.2,0.2,-1.68,
NGC 4590,M 68,189.86658,-26.74406,0.58,1.51,1.41,18.81,7.84,10.3,0.05,-2.23,0.05
NGC 4833,,194.89133,-70.8765,1.0,2.41,1.25,18.48,6.91,6.6,0.32,-1.85,0.07
NGC 5024,M 53,198.23021,18.16817,0.35,1.31,1.72,17.38,7.61,17.9,0.02,-2.1,0.01
NGC 5053,,199.11288,17.70025,2.08,2.61,0.74,22.03,9.47,17.4,0.01,-2.27,0.21
NGC 5139,omega Cen,201.69683,-47.47958,2.37,5.0,1.31,16.81,3.68,5.2,0.12,-1.53,0.17
NGC 5272,M 3,205.54842,28.37728,0.37,2.31,1.89,16.64,6.19,10.2,0.01,-1.5,0.04
NGC 5286,,206.61171,-51.37425,0.28,0.73,1.41,16.22,7.34,11.7,0.24,-1.69,0.12
AM 4,,209.09042,-27.1675,0.41,0.43,0.7,24.75,15.88,32.2,0.05,-1.3,
NGC 5466,,211.36371,28.53444,1.43,2.3,1.04,21.61,9.04,16.0,0.0,-1.98,0.11
NGC 5634,,217.40512,-5.97642,0.09,0.86,2.07,17.2,9.47,25.2,0.05,-1.88,0.02
NGC 5694,,219.90121,-26.53894,0.06,0.4,1.89,16.51,10.17,35.0,0.09,-1.98,0.04
IC 4499,,225.07688,-82.21369,0.84,1.71,1.21,20.9,9.76,18.8,0.23,-1.53,0.08
NGC 5824,,225.99429,-33.06822,0.06,0.45,1.98,15.18,9.09,32.1,0.13,-1.91,0.03
Pal 5,,229.02188,-0.11161,2.29,2.73,0.52,24.64,11.75,23.2,0.03,-1.41,
NGC 5897,,229.35208,-21.01028,1.4,2.06,0.86,20.53,8.53,12.5,0.09,-1.9,0.08
NGC 5904,M 5,229.63842,2.08103,0.44,1.77,1.73,16.09,5.65,7.5,0.03,-1.29,0.14
NGC 5927,,232.00287,-50.67303,0.42,1.1,1.6,16.91,8.01,7.7,0.45,-0.49,0.04
NGC 5946,,233.86883,-50.65967,0.08,0.89,2.5,17.19,9.61,10.6,0.54,-1.29,0.16
BH 176,,234.78104,-50.05272,0.9,0.9,0.85,23.36,14.0,18.9,0.54,0.0,
NGC 5986,,236.5125,-37.78642,0.47,0.98,1.23,17.67,7.52,10.4,0.28,-1.59,0.06
Pal 14,AvdB,242.7525,14.95778,0.82,1.22,0.8,25.25,14.74,76.5,0.04,-1.62,
NGC 6093,M 80,244.26004,-22.97608,0.15,0.61,1.68,15.11,7.33,10.0,0.18,-1.75,0.0
NGC 6121,M 4,245.89675,-26.52575,1.16,4.33,1.65,17.95,5.63,2.2,0.35,-1.16,0.0
NGC 6101,,246.4505,-72.20219,0.97,1.05,0.8,20.29,9.16,15.4,0.05,-1.98,0.05
NGC 6144,,246.80775,-26.0235,0.94,1.63,1.55,20.05,9.01,8.9,0.36,-1.76,0.25
NGC 6139,,246.91821,-38.84875,0.15,0.85,1.86,17.2,8.99,10.1,0.75,-1.65,0.05
Terzan 3,,247.167,-35.35347,1.18,1.25,0.7,22.52,12.0,8.2,0.73,-0.74,
NGC 6171,M 107,248.13275,-13.05378,0.56,1.73,1.53,18.94,7.93,6.4,0.33,-1.02,0.02
1636-283,ESO452-SC11,249.85604,-28.39869,0.5,0.5,1.0,20.75,12.0,8.3,0.46,-1.5,
NGC 6205,M 13,250.42183,36.45986,0.62,1.69,1.53,16.59,5.78,7.1,0.02,-1.53,0.11
NGC 6229,,251.74496,47.52775,0.12,0.36,1.5,16.77,9.39,30.5,0.01,-1.47,0.05
NGC 6218,M 12,251.80908,-1.94853,0.79,1.77,1.34,18.1,6.7,4.8,0.19,-1.37,0.04
NGC 6235,,253.35546,-22.17744,0.33,1.0,1.53,19.12,9.97,11.5,0.31,-1.28,0.13
NGC 6254,M 10,254.28771,-4.10031,0.77,1.95,1.38,17.7,6.6,4.4,0.28,-1.56,0.0
NGC 6256,,254.88592,-37.12139,0.02,0.86,2.5,17.89,11.29,10.3,1.09,-1.02,
Pal 15,,254.9625,-0.53889,1.2,1.1,0.6,24.87,14.0,45.1,0.4,-2.07,
NGC 6266,M 62,255.30333,-30.11372,0.22,0.92,1.71,15.1,6.45,6.8,0.47,-1.18,0.01
NGC 6273,M 19,255.6575,-26.26797,0.43,1.32,1.53,16.77,6.77,8.8,0.38,-1.74,0.27
NGC 6284,,256.11879,-24.76486,0.07,0.66,2.5,16.35,8.83,15.3,0.28,-1.26,0.03
NGC 6287,,256.28804,-22.70836,0.29,0.74,1.38,18.32,9.35,9.4,0.6,-2.1,0.13
NGC 6293,,257.5425,-26.58208,0.05,0.89,2.5,15.72,8.22,9.5,0.36,-1.99,0.03
NGC 6304,,258.63437,-29.46203,0.21,1.42,1.8,17.2,8.22,5.9,0.54,-0.45,0.02
NGC 6316,,259.15542,-28.14011,0.17,0.65,1.65,17.44,8.43,10.4,0.54,-0.45,0.04
NGC 6341,M 92,259.28079,43.13594,0.26,1.02,1.68,15.47,6.44,8.3,0.02,-2.31,0.1
NGC 6325,,259.49671,-23.766,0.03,0.63,2.5,17.56,10.33,7.8,0.91,-1.25,0.12
NGC 6333,M 9,259.79692,-18.51594,0.45,0.96,1.25,17.39,7.72,7.9,0.38,-1.77,0.04
NGC 6342,,260.292,-19.58742,0.05,0.73,2.5,16.97,9.66,8.5,0.46,-0.55,0.18
NGC 6356,,260.89554,-17.81303,0.24,0.81,1.59,17.02,8.25,15.1,0.28,-0.4,0.03
NGC 6355,,260.99412,-26.35342,0.05,0.88,2.5,17.64,9.14,9.2,0.77,-1.37,
NGC 6352,,261.37129,-48.42217,0.83,2.05,1.1,18.17,7.96,5.6,0.22,-0.64,0.07
Terzan 2,HP 3,261.88792,-30.80233,0.03,1.52,2.5,22.16,14.29,7.5,1.87,-0.69,
NGC 6366,,261.93433,-5.07986,2.17,2.92,0.74,21.25,9.2,3.5,0.71,-0.59,0.16
HP 1,BH 229,262.77167,-29.98167,0.03,3.1,2.5,21.29,11.59,8.2,1.12,-1.0,
NGC 6362,,262.97912,-67.04833,1.13,2.05,1.09,19.31,7.73,7.6,0.09,-0.99,0.07
Liller 1,,263.35208,-33.389,0.06,,2.3,24.0,16.77,8.2,3.07,-0.33,
NGC 6380,Ton 1,263.61667,-39.06917,0.34,0.74,1.55,19.89,11.31,10.9,1.17,-0.75,
Terzan 1,HP 2,263.94917,-30.46972,0.04,3.82,2.5,25.09,15.9,6.7,1.99,-1.03,
Ton 2,Pismis 26,264.04375,-38.55333,0.54,1.3,1.3,22.16,12.24,8.2,1.24,-0.7,
NGC 6388,,264.07179,-44.7355,0.12,0.52,1.75,14.49,6.72,9.9,0.37,-0.55,0.01
NGC 6402,M 14,264.40042,-3.24592,0.79,1.3,0.99,18.41,7.59,9.3,0.6,-1.28,0.11
NGC 6401,,264.6525,-23.9095,0.25,1.91,1.69,18.7,9.45,10.6,0.72,-1.02,0.15
NGC 6397,,265.17538,-53.67433,0.05,2.9,2.5,15.47,5.73,2.3,0.18,-2.02,0.07
Pal 6,,265.92583,-26.2225,0.66,1.2,1.1,21.51,11.55,5.8,1.46,-0.91,
NGC 6426,,266.22771,3.17014,0.26,0.92,1.7,20.09,11.01,20.6,0.36,-2.15,0.15
Djorg 1,,266.86792,-33.06556,0.5,1.59,1.5,23.1,13.6,13.7,1.58,-1.51,
Terzan 5,Terzan 11,267.02,-24.77917,0.16,0.72,1.62,21.08,13.85,6.9,2.28,-0.23,
NGC 6440,,267.21958,-20.36025,0.14,0.48,1.62,17.06,9.2,8.5,1.07,-0.36,0.01
NGC 6441,,267.55442,-37.05144,0.13,0.57,1.74,14.85,7.15,11.6,0.47,-0.46,0.02
Terzan 6,HP 5,267.69325,-31.27539,0.05,0.44,2.5,20.76,13.85,6.8,2.35,-0.56,
NGC 6453,,267.71542,-34.59917,0.05,0.44,2.5,17.07,10.08,11.6,0.64,-1.5,0.09
UKS 1,,268.61333,-24.14528,0.15,,2.1,25.52,17.29,7.8,3.14,-0.64,
NGC 6496,,269.76533,-44.26594,0.95,1.02,0.7,20.17,8.54,11.3,0.15,-0.46,0.16
Terzan 9,,270.41167,-26.83972,0.03,0.78,2.5,23.21,16.0,7.1,1.76,-1.05,
Djorg 2,ESO456-SC38,270.45458,-27.82583,0.33,1.05,1.5,19.5,9.9,6.3,0.94,-0.65,
NGC 6517,,270.4605,-8.95878,0.06,0.5,1.82,17.56,10.23,10.6,1.08,-1.23,0.06
NGC 6522,,270.89175,-30.03397,0.05,1.0,2.5,15.75,8.27,7.7,0.48,-1.34,0.06
Terzan 10,,270.90167,-26.0725,0.9,1.55,0.75,21.28,14.9,5.8,2.4,-1.0,
NGC 6535,,270.96046,-0.29764,0.36,0.85,1.33,21.26,10.47,6.8,0.34,-1.79,0.08
NGC 6528,,271.20683,-30.05628,0.13,0.38,1.5,16.73,9.6,7.9,0.54,-0.11,0.11
NGC 6539,,271.207,-7.58586,0.38,1.7,1.74,18.58,9.33,7.8,1.02,-0.63,0.08
NGC 6540,Djorg 3,271.53583,-27.76528,0.03,,2.5,16.4,9.3,5.3,0.66,-1.35,
NGC 6544,,271.83575,-24.99733,0.05,1.21,1.63,16.31,7.77,3.0,0.76,-1.4,0.22
NGC 6541,,272.00983,-43.71489,0.18,1.06,1.86,15.44,6.3,7.5,0.14,-1.81,0.12
NGC 6553,,272.32333,-25.90869,0.53,1.03,1.16,18.17,8.06,6.0,0.63,-0.18,0.17
NGC 6558,,272.57333,-31.76389,0.03,2.15,2.5,16.48,9.26,7.4,0.44,-1.32,
IC 1276,Pal 7,272.68417,-7.20761,1.01,2.38,1.33,21.6,10.34,5.4,1.08,-0.75,
Terzan 12,,273.06583,-22.74194,0.83,0.75,0.57,23.75,15.63,4.8,2.06,-0.5,
NGC 6569,,273.41167,-31.82689,0.35,0.8,1.31,18.15,8.55,10.9,0.53,-0.76,0.0
NGC 6584,,274.65667,-52.21578,0.26,0.73,1.47,17.63,8.27,13.5,0.1,-1.5,
NGC 6624,,275.91879,-30.36103,0.06,0.82,2.5,15.32,7.87,7.9,0.28,-0.44,0.06
NGC 6626,M 28,276.13671,-24.86978,0.24,1.97,1.67,15.77,6.79,5.5,0.4,-1.32,0.16
NGC 6638,,277.73375,-25.49747,0.22,0.51,1.33,17.3,9.02,9.4,0.41,-0.95,0.01
NGC 6637,M 69,277.84625,-32.34808,0.33,0.84,1.38,16.82,7.64,8.8,0.18,-0.64,0.01
NGC 6642,,277.97542,-23.47519,0.1,0.73,1.99,16.82,9.13,8.1,0.4,-1.26,0.03
NGC 6652,,278.94013,-32.99072,0.1,0.48,1.8,16.1,8.62,10.0,0.09,-0.81,0.2
NGC 6656,M 22,279.09975,-23.90475,1.33,3.36,1.38,17.42,5.1,3.2,0.34,-1.7,0.14
Pal 8,,280.37458,-19.82583,0.56,0.58,1.53,20.0,11.02,12.8,0.32,-0.37,
NGC 6681,M 70,280.80317,-32.29211,0.03,0.71,2.5,14.25,7.87,9.0,0.07,-1.62,0.01
NGC 6712,,283.26792,-8.70611,0.76,1.33,1.05,18.74,8.1,6.9,0.45,-1.02,0.11
NGC 6715,M 54,283.76387,-30.47986,0.09,0.82,2.04,14.78,7.6,26.5,0.15,-1.49,0.06
NGC 6717,Pal 9,283.77517,-22.70147,0.08,0.68,2.07,16.77,9.28,7.1,0.22,-1.26,0.01
NGC 6723,,284.88813,-36.63225,0.83,1.53,1.11,18.13,7.01,8.7,0.05,-1.1,0.0
NGC 6749,,286.31375,1.90083,0.62,1.1,0.79,21.88,12.44,7.9,1.5,-1.6,
NGC 6752,,287.71713,-59.98456,0.17,1.91,2.5,14.88,5.4,4.0,0.04,-1.54,0.04
NGC 6760,,287.80004,1.03047,0.34,1.27,1.65,18.66,8.88,7.4,0.77,-0.4,0.04
NGC 6779,M 56,289.14821,30.18347,0.44,1.1,1.38,18.08,8.27,9.4,0.26,-1.98,0.03
Terzan 7,,289.433,-34.65772,0.49,0.77,0.93,20.66,12.0,22.8,0.07,-0.32,
Pal 10,,289.50875,18.57167,0.81,0.99,0.58,22.03,13.22,5.9,1.66,-0.1,
Arp 2,,292.18379,-30.35564,1.19,1.77,0.88,24.26,12.3,28.6,0.1,-1.75,
NGC 6809,M 55,294.99879,-30.96475,1.8,2.83,0.93,19.36,6.32,5.4,0.08,-1.94,0.02
Terzan 8,,295.43504,-33.99947,1.0,0.95,0.6,22.82,12.4,26.3,0.12,-2.16,
Pal 11,,296.31,-8.00722,1.19,1.46,0.57,19.72,9.8,13.4,0.35,-0.4,
NGC 6838,M 71,298.44371,18.77919,0.63,1.67,1.15,19.75,8.19,4.0,0.25,-0.78,0.0
NGC 6864,M 75,301.51954,-21.92117,0.09,0.46,1.8,15.52,8.52,20.9,0.16,-1.29,0.07
NGC 6934,,308.54737,7.40447,0.22,0.69,1.53,17.35,8.83,15.6,0.1,-1.47,0.01
NGC 6981,M 72,313.36542,-12.53731,0.46,0.93,1.21,19.02,9.27,17.0,0.05,-1.42,0.02
NGC 7006,,315.37242,16.18733,0.17,0.44,1.41,18.62,10.56,41.2,0.05,-1.52,0.01
NGC 7078,M 15,322.49304,12.167,0.14,1.0,2.29,14.21,6.2,10.4,0.1,-2.37,0.05
NGC 7089,M 2,323.36258,-0.82325,0.32,1.06,1.59,15.78,6.47,11.5,0.06,-1.65,0.11
NGC 7099,M 30,325.09217,-23.17986,0.06,1.03,2.5,15.35,7.19,8.1,0.03,-2.27,0.01
Pal 12,,326.66183,-21.25261,0.02,1.72,2.98,19.21,11.99,19.0,0.02,-0.85,
Pal 13,,346.68517,12.772,0.48,0.36,0.66,24.31,13.47,26.0,0.05,-1.88,
NGC 7492,,347.11096,-15.6115,0.86,1.15,0.72,20.68,11.29,26.3,0.0,-1.78,0.24
