nombre,alt,ra_grados,dec_grados,re_arcsec,razon_ejes,pa_grados,mag_v,sersic_n,frac_bulbo,polvo,clase
NGC0040,Bow-Tie nebula,3.25429,72.52194,14.4,1.0,0,11.89,1.0,0,0,PN
NGC0249,,11.38692,-73.08008,9.9,0.636,0,13.5,1.0,0,0,HII
NGC0261,,11.61629,-73.10364,11.7,0.846,110,12.7,1.0,0,0,Neb
NGC0246,,11.764,-11.87194,73.44,1.0,0,10.9,1.0,0,0,PN
IC0063,,14.87017,60.91169,49.3,1.0,0,13.03,1.0,0,0,HII
IC1644,,17.30421,-73.19411,7.2,0.812,40,13.25,1.0,0,0,HII
IC0131,,23.31075,30.75325,2.7,1.0,0,15.15,1.0,0,0,HII
IC0143,,23.54554,30.77642,2.7,1.0,0,15.15,1.0,0,0,HII
NGC0650,Barbell Nebula,25.58204,51.57547,20.16,1.0,0,10.1,1.0,0,0,PN
IC1747,,29.39888,63.32178,3.96,1.0,0,12.0,1.0,0,0,PN
IC1805,,38.17296,61.45689,540.0,1.0,0,6.5,1.0,0,0,Cl+N
IC1848,,42.79413,60.40247,180.0,1.0,0,6.5,1.0,0,0,Cl+N
IC0289,,47.58025,61.31678,10.44,1.0,0,13.2,1.0,0,0,PN
NGC1333,,52.23,31.37,175.5,1.0,0,10.6,1.0,0,0,Cl+N
NGC1360,,53.31104,-25.87172,115.56,1.0,0,9.4,1.0,0,0,PN
IC0351,,56.88754,35.04692,2.16,1.0,0,13.13,1.0,0,0,PN
IC2003,,59.09179,33.87486,2.52,1.0,0,12.8,1.0,0,0,PN
NGC1499,California Nebula,60.81008,36.36747,720.0,1.0,0,4.7,1.0,0,0,Neb
NGC1501,,61.74737,60.92069,15.66,1.0,0,11.5,1.0,0,0,PN
NGC1514,,62.32063,30.77592,39.6,1.0,0,10.19,1.0,0,0,PN
NGC1535,,63.56571,-12.73939,15.3,1.0,0,9.6,1.0,0,0,PN
NGC1555,Hind's Nebula,65.49762,19.53517,16.38,0.742,74,11.56,1.0,0,0,RfN
NGC1624,,70.15208,50.46167,27.0,1.0,0,11.8,1.0,0,0,Cl+N
IC2105,,72.36108,-69.20092,5.85,0.923,170,13.56,1.0,0,0,Cl+N
NGC1714,,73.03688,-66.92339,9.9,1.0,0,12.33,1.0,0,0,Cl+N
NGC1743,,73.51113,-69.19861,8.55,0.895,130,12.77,1.0,0,0,Neb
NGC1745,,73.58592,-69.15889,10.8,0.917,90,13.4,1.0,0,0,Neb
NGC1748,,73.60821,-69.18411,8.1,0.889,100,12.89,1.0,0,0,Neb
NGC1763,,74.20496,-66.40908,46.8,0.692,70,9.4,1.0,0,0,Cl+N
NGC1814,,75.94358,-67.30067,10.8,0.917,10,12.76,1.0,0,0,Cl+N
