Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
IC0059;RfN;00:57:28.61;+61:08:37.2;Cas;10.00;5.00;;;;;;;;;;;;;;;;;;;;;LBN 620;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:9|MinAx:9
IC0063;HII;00:59:28.84;+60:54:42.1;Cas;10.00;3.00;;13.33;;;;;;;;;;;;;;;;;;;LBN 622;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:9|MinAx:9|B-Mag:2
IC0131;HII;01:33:14.58;+30:45:11.7;Tri;0.30;;;12.52;;;;;;;;;;;;;;;;;;;IRAS 01303+3029;;HII region in Messier 033. The IC object includes the surrounding star cloud.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|B-Mag:2
IC0132;HII;01:33:15.92;+30:56:44.2;Tri;0.67;0.55;;14.87;14.82;;;;;;;;;;;;;;;;;;;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:2|MinAx:2|B-Mag:2|V-Mag:2
IC0133;HII;01:33:15.18;+30:53:18.2;Tri;0.45;0.45;;18.28;18.45;14.48;13.91;13.51;;;;;;;;;;;;;;;2MASX J01331516+3053196,IRAS 01304+3037;;HII region in Messier 033. The IC object includes the surrounding star cloud.;;Type:1|RA:1|Dec:1|Const:99|MajAx:2|MinAx:2|B-Mag:2|V-Mag:2|J-Mag:2|H-Mag:2|K-Mag:2
IC0135;HII;01:34:15.53;+30:37:12.3;Tri;0.40;;;;;;;;;;;;;;;;;;;;;;;;HII region in Messier 033.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3
IC0142;HII;01:33:55.53;+30:45:28.1;Tri;0.50;;;11.30;14.20;;;;;;;;;;;;;;;;;;;;HII region in Messier 033.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|B-Mag:2|V-Mag:2
IC0143;HII;01:34:10.93;+30:46:35.1;Tri;0.30;;;11.40;;;;;;;;;;;;;;;;;;;;;HII region in Messier 033.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|B-Mag:2
IC0289;PN;03:10:19.26;+61:19:00.4;Cas;0.58;;;12.30;13.20;15.59;15.62;15.14;;;0.6280;-2.875;-3.901;-13;-0.000045;;15.10;15.90;;;;;IRAS 03062+6107,PK 138+02 1,PN G138.8+02.8;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:8|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2|Cstar B-Mag:8|Cstar V-Mag:8
IC0336;Neb;03:37:57.04;+23:21:47.3;Tau;;;;;;;;;;;;;;;;;;;;;;;;;;;Type:1|RA:1|Dec:1|Const:99
