#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T06:09:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T06:09:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2f155%2frc3&-out=name%2caltname%2cRA2000%2cDE2000%2cT%2cD25%2cR25%2cPA%2cBT%2cAe%2cm%27e&-out.max=unlimited&BT=%3c13.5&-sort=BT	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#INFO	ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	creator=de Vaucouleurs G.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/155	    Dataset landing page
#INFO	publication_date=2002-08-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	D25	(F5.2)	? Log D25	[ucd=phys.angSize;src]
#Column	R25	(F5.2)	? Log R25 (isophotal diameter ratio)	[ucd=phys.size;arith.ratio]
#Column	PA	(I3)	? Position angle of the major axis	[ucd=pos.posAng]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	Ae	(F5.2)	? Log Ae (effective aperture)	[ucd=instr.fov]
#Column	m'e	(F5.2)	? m'e	[ucd=phot.mag.sb]
name	altname	RA2000	DE2000	T	D25	R25	PA	BT	Ae	m'e
 	 	"h:m:s"	"d:m:s"	 	[0.1arcmin]	 	deg	mag	[0.1arcmin]	mag/arcmin2
------------	---------------	----------	---------	----	-----	-----	---	-----	-----	-----
LMC         	 ESO   56-115  	05 23 34.7	-69 45 22	 9.0	 3.81	 0.07	170	 0.91	     	
SMC         	 ESO   29- 21  	00 52 38.1	-72 48 01	 9.0	 3.50	 0.23	 45	 2.70	     	
NGC   224   	 UGC   454     	00 42 44.4	+41 16 08	 3.0	 3.28	 0.49	 35	 4.36	 2.62	12.93
NGC   598   	 UGC  1117     	01 33 50.9	+30 39 37	 6.0	 2.85	 0.23	 23	 6.27	 2.43	13.86
NGC  5128   	 ESO  270-  9  	13 25 29.0	-43 01 00	-2.0	 2.41	 0.11	 35	 7.84	     	
NGC  3031   	 UGC  5318     	09 55 33.5	+69 04 00	 2.0	 2.43	 0.28	157	 7.89	 1.82	12.40
NGC   253   	 ESO  474- 29  	00 47 33.1	-25 17 18	 5.0	 2.44	 0.61	 52	 8.04	 1.84	12.76
NGC  5236   	 ESO  444- 81  	13 37 00.3	-29 52 04	 5.0	 2.11	 0.05	   	 8.20	     	
NGC  5457   	 UGC  8981     	14 03 12.5	+54 20 55	 6.0	 2.46	 0.03	   	 8.31	 2.06	14.00
NGC    55   	 ESO  293- 50  	00 15 08.5	-39 13 13	 9.0	 2.51	 0.76	108	 8.42	     	
NGC   300   	 ESO  295- 20  	00 54 53.8	-37 40 57	 7.0	 2.34	 0.15	111	 8.72	     	
NGC   205   	 UGC   426     	00 40 22.5	+41 41 11	-5.0	 2.34	 0.30	170	 8.92	 1.75	13.21
NGC  2403   	 UGC  3918     	07 36 54.5	+65 35 58	 6.0	 2.34	 0.25	127	 8.93	 1.68	12.84
NGC  5194   	 UGC  8493     	13 29 53.3	+47 11 48	 4.0	 2.05	 0.21	163	 8.96	 1.62	12.51
NGC  4594   	 MCG -2-32- 20 	12 39 59.4	-11 37 22	 1.0	 1.94	 0.39	 90	 8.98	 1.38	11.59
NGC  4736   	 UGC  7996     	12 50 53.6	+41 07 10	 2.0	 2.05	 0.09	105	 8.99	 1.11	10.03
NGC   221   	 UGC   452     	00 42 41.9	+40 51 55	-6.0	 1.94	 0.13	170	 9.03	 1.08	10.05
Fornax      	 ESO  356-  4  	02 39 59.4	-34 26 57	-5.0	 2.23	 0.13	 60	 9.04	     	
