#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-12T10:22:27 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-12T10:22:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/219/4&-out=Name,_RA,_DE,n,Re,q&-out.max=unlimited&-sort=Name	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22190004
#Name: J/ApJS/219/4
#Title: S4G pipeline 4: multi-component decompositions (Salo+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	creator=Salo H.	    First author or institution
#INFO	cites=bibcode:2015ApJS..219....4S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/219/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22190004	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJS_219_4_galaxies:
#Name: J/ApJS/219/4/galaxies
#Title: Parameters of the galaxies;  center, outer orientation, sky background; and 1-component Sersic fits
#Column	Name	(a10)	Galaxy name (IDE)	[ucd=meta.id;meta.main]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	n	(F6.3)	[0.3/19]? Sersic index	[ucd=stat.fit.param]
#Column	Re	(F7.2)	[5/7631]? Effective radius	[ucd=phys.angSize]
#Column	q	(F6.3)	[0.07/1]? Axial ratio	[ucd=phys.size.axisRatio]
Name	_RA	_DE	n	Re	q
 	deg	deg	 	arcsec	
----------	---------	---------	------	-------	------
ESO011-005	325.24350	-82.79967	 1.329	  18.61	 0.231
ESO012-010	359.11500	-81.56639	 1.592	  56.38	 0.493
ESO012-014	000.68417	-80.34639	 0.884	  47.35	 0.411
ESO013-016	023.20167	-79.47389	 1.314	  38.85	 0.508
ESO015-001	055.93917	-80.10528	 1.131	  34.34	 0.357
ESO026-001	306.25922	-81.57529	 3.126	  62.93	 0.689
ESO027-001	328.11014	-81.53076	 5.423	  96.07	 0.765
ESO027-008	335.76745	-79.99693	 0.712	  34.43	 0.368
ESO048-017	332.23190	-73.38196	 1.986	  38.76	 0.331
ESO054-021	057.45602	-71.63538	 1.974	  84.66	 0.552
ESO079-003	008.00888	-64.25347	 1.112	  23.78	 0.140
ESO079-005	010.18523	-63.44029	 0.835	  30.14	 0.366
ESO079-007	012.51717	-66.55275	 1.118	  24.27	 0.743
ESO085-014	073.67985	-62.80058	 1.357	  52.00	 0.298
ESO085-030	075.37400	-63.29334	 1.377	  12.16	 0.498
ESO085-047	076.93292	-62.99000	 1.409	  37.53	 0.479
ESO107-016	319.02758	-64.81678	 1.261	  31.65	 0.184
ESO114-007	026.62654	-58.67417	 1.134	  25.12	 0.593
ESO115-021	039.45651	-61.33160	 1.228	  86.79	 0.194
ESO116-012	048.26977	-57.35725	      	       	
ESO119-016	072.87167	-61.65083	 0.848	  43.67	 0.484
ESO120-012	084.99577	-58.58549	 1.118	  31.12	 0.551
ESO120-021	088.30917	-59.06611	 0.526	  33.04	 0.461
ESO145-025	328.52375	-57.61333	 1.247	  45.09	 0.727
ESO146-014	333.25042	-62.06806	 1.909	  55.96	 0.154
ESO149-001	356.95375	-57.07139	 1.269	  55.44	 0.225
ESO149-003	358.01167	-52.57889	 1.082	  26.05	 0.353
ESO150-005	005.60650	-53.64750	 1.722	  64.79	 0.862
ESO154-023	044.21000	-54.57139	 1.068	 142.33	 0.211
ESO157-049	069.90368	-53.01265	 1.079	  17.31	 0.150
ESO159-025	085.77667	-52.70611	 0.857	  28.40	 0.747
ESO187-035	314.23454	-55.72047	 1.476	  36.50	 0.407
ESO187-051	316.88625	-54.95306	 2.565	 155.44	 0.414
ESO202-035	068.06844	-49.67583	 1.298	  25.29	 0.183
ESO202-041	069.23621	-52.17367	 1.607	  31.56	 0.488
ESO234-043	308.05792	-48.52833	 2.252	  58.96	 0.549
ESO234-049	308.82525	-49.86550	 1.391	  23.36	 0.930
ESO236-039	326.31250	-49.00778	 0.976	  16.83	 0.472
ESO237-049	334.01417	-47.66194	 1.363	  29.99	 0.153
ESO237-052	334.44717	-49.25996	 1.578	  25.88	 0.452
ESO238-018	338.93246	-50.89069	 1.095	  15.70	 0.873
ESO240-004	351.97133	-51.13214	 0.865	  25.21	 0.211
ESO240-011	354.45615	-47.72739	 1.305	  43.82	 0.115
ESO245-005	026.26542	-43.59778	 1.050	 103.00	 0.664
ESO245-007	027.77625	-44.44472	 0.587	  88.98	 0.954
ESO248-002	046.27586	-45.96202	 0.939	  47.58	 0.230
ESO249-008	054.32860	-43.58614	 1.530	  11.98	 0.574
ESO249-026	058.55375	-43.75722	 1.422	  31.67	 0.519
ESO249-027	058.62221	-44.75358	 1.130	  31.05	 0.292
ESO249-035	059.73500	-45.85889	 1.281	  23.54	 0.171
ESO249-036	059.81333	-45.87056	      	       	
ESO285-048	311.16760	-45.97852	 1.028	  32.44	 0.414
ESO286-044	316.41110	-42.78124	18.166	  28.27	 0.589
ESO287-009	320.31784	-46.15283	 1.293	  22.16	 0.144
ESO287-037	323.63342	-44.31478	 1.325	  32.30	 0.754
ESO287-043	324.55200	-43.93452	 1.030	  26.77	 0.170
ESO288-013	327.94417	-43.12417	 0.689	  21.02	 0.997
ESO289-010	334.18039	-47.11862	 1.080	  31.85	 0.107
ESO289-026	335.88846	-42.27458	 3.542	  91.17	 0.377
ESO289-048	340.23694	-45.66030	 1.436	  26.12	 0.309
ESO291-024	350.91937	-42.40244	 1.344	  25.74	 0.289
ESO292-014	355.64682	-44.90485	 1.079	  34.19	 0.096
ESO293-034	001.58298	-41.49990	 2.496	  34.11	 0.203
ESO293-045	002.85346	-41.39822	 0.985	  21.12	 0.265
ESO298-015	032.66212	-40.91808	 1.073	  33.52	 0.380
ESO298-023	033.61458	-39.18611	 1.353	  19.46	 0.744
ESO300-014	047.40779	-41.03047	 1.191	  92.75	 0.435
ESO302-009	056.89167	-38.57694	 1.567	  46.04	 0.263
ESO302-014	057.92000	-38.45361	 0.743	  29.88	 0.652
ESO302-021	058.96908	-40.68442	 1.294	  16.25	 0.293
ESO305-009	077.03175	-38.30931	 1.822	  69.61	 0.723
ESO305-017	078.75196	-41.39267	 0.698	  31.62	 0.281
ESO340-008	304.29916	-40.92369	 0.763	  11.37	 0.091
ESO340-009	304.33548	-38.67368	 1.148	  22.91	 0.168
ESO340-017	304.92367	-39.28860	 1.800	  24.29	 0.303
ESO340-042	308.73292	-40.62417	 3.519	 112.05	 0.590
ESO341-032	315.88917	-39.44417	 1.197	  24.35	 0.882
ESO342-013	317.50195	-37.50375	 1.754	  24.16	 0.226
ESO342-050	322.06275	-37.86130	 1.175	  34.93	 0.611
ESO345-046	340.81542	-39.86750	 1.541	  41.93	 0.814
ESO346-001	342.14102	-39.64900	 1.257	  21.50	 0.097
ESO346-014	343.77936	-38.58331	 2.317	  25.69	 0.123
ESO347-008	350.20125	-41.73083	 1.938	  74.34	 0.755
ESO347-017	351.73500	-37.34611	 0.872	  31.37	 0.363
ESO347-029	354.11346	-38.78244	      	       	
ESO355-026	038.07295	-35.03018	 0.711	  23.30	 0.543
ESO356-018	043.80200	-36.30017	 0.949	  23.47	 0.212
ESO357-007	047.60146	-33.15617	      	       	
ESO357-012	049.22229	-35.54131	 1.497	  63.32	 0.711
ESO357-025	050.90532	-35.77838	 1.560	  13.01	 0.414
ESO358-005	051.81921	-33.48611	 0.503	  24.72	 0.732
ESO358-015	053.27846	-34.80881	 1.144	  16.40	 0.710
ESO358-020	053.73889	-32.63979	 0.846	  18.08	 0.496
ESO358-025	053.88806	-32.46487	 1.480	  14.71	 0.591
ESO358-051	055.38586	-34.88834	 1.220	  16.54	 0.450
ESO358-054	055.75812	-36.27122	 1.288	  39.28	 0.658
ESO358-060	056.30058	-35.57092	 0.733	  28.88	 0.289
ESO358-063	056.57920	-34.94356	 1.434	  42.15	 0.185
ESO359-003	058.00379	-33.46761	 1.262	  24.08	 0.308
ESO359-022	062.18992	-35.38950	 0.544	  12.29	 0.382
ESO359-029	063.21112	-33.00111	 0.956	  29.94	 0.481
ESO359-031	063.29004	-34.42633	 0.787	  17.83	 0.875
ESO361-009	071.74417	-35.91750	 0.691	  45.52	 0.362
ESO361-015	072.98893	-33.17929	 0.945	  36.88	 0.255
ESO361-019	073.72015	-37.32117	 1.017	  14.75	 0.392
ESO362-009	077.99708	-32.97250	 0.766	  69.05	 0.742
ESO362-011	079.16167	-37.10252	 1.328	  37.36	 0.169
ESO362-019	080.26750	-36.95667	 0.782	  39.35	 0.305
ESO399-025	303.36548	-37.18874	 8.261	  11.74	 0.557
ESO400-025	306.90820	-32.95747	 1.258	  36.16	 0.455
ESO402-025	320.56577	-36.62768	 1.037	  18.88	 0.269
ESO402-026	320.63080	-36.68159	 7.357	   9.82	 0.525
ESO402-030	321.68521	-34.49904	 1.769	   8.01	 0.531
ESO403-024	326.66571	-36.20531	 1.540	  23.79	 0.559
ESO403-031	327.01833	-36.77389	 1.842	  26.71	 0.596
ESO404-003	328.16556	-36.50283	 1.103	  23.04	 0.421
ESO404-012	329.27991	-34.58227	 2.271	  25.34	 0.687
ESO404-017	330.23250	-35.28722	 1.675	  30.78	 0.352
ESO404-018	330.29233	-32.57881	 1.089	  42.70	 0.101
ESO404-027	330.94940	-32.28497	 2.451	  34.59	 0.465
ESO406-042	345.55972	-37.08353	 1.549	  43.23	 0.584
ESO407-007	347.41427	-36.42009	 0.908	  15.45	 0.193
ESO407-009	348.18712	-37.20792	 0.683	  35.63	 0.366
ESO407-014	349.41476	-34.79081	 0.851	  12.82	 0.545
ESO407-018	351.61467	-32.38875	 0.786	  41.10	 0.891
ESO408-012	354.39237	-36.99600	 1.407	  22.83	 0.595
ESO409-015	001.38271	-28.09817	 0.534	  18.85	 0.367
ESO410-012	007.07379	-27.98289	 2.055	  51.64	 0.273
ESO410-018	008.54654	-30.77414	 0.863	  29.72	 0.944
ESO411-013	011.77625	-31.58167	 1.006	  26.20	 0.300
ESO411-026	013.18904	-31.71814	 1.189	  14.55	 0.655
ESO418-008	052.87767	-30.21333	 0.838	  16.38	 0.786
ESO418-009	052.98212	-31.33822	 0.823	  23.04	 0.736
ESO419-013	060.17337	-30.83102	 1.056	  18.08	 0.362
ESO420-006	062.50642	-31.25803	 1.250	  46.35	 0.452
ESO420-009	062.75249	-31.40782	 1.008	  22.43	 0.774
ESO421-019	072.30042	-29.20750	 1.027	  49.93	 0.671
ESO422-005	073.02458	-28.59250	 1.169	  21.37	 0.816
ESO422-033	076.70667	-27.65806	 0.906	  23.42	 0.420
ESO422-041	077.69568	-31.59714	 2.000	  52.73	 0.665
ESO423-002	078.81813	-30.52645	 1.875	  41.44	 0.260
ESO438-017	169.32384	-27.82266	 0.811	  33.16	 0.490
ESO440-004	176.42633	-28.36781	 2.283	  45.66	 0.624
ESO440-011	177.19079	-28.29469	 1.440	  53.41	 0.752
ESO440-027	178.35027	-28.55316	 1.776	  48.79	 0.156
ESO440-037	179.82127	-28.90494	 5.490	  14.47	 0.959
ESO440-044	180.69262	-29.09311	 1.478	  35.38	 0.407
ESO440-046	181.17157	-28.11629	 0.910	  37.63	 0.732
ESO440-049	181.39178	-31.42348	 2.931	  39.43	 0.790
ESO441-011	182.35486	-28.80150	 1.209	  18.53	 0.211
ESO441-014	182.55897	-30.07808	 0.908	  20.35	 0.353
ESO441-017	182.78242	-31.12704	 1.168	  14.40	 0.635
ESO442-013	189.30629	-28.49142	 1.264	  40.51	 0.354
ESO443-021	194.94122	-29.60027	 0.829	  23.55	 0.118
ESO443-042	195.87384	-29.82881	 1.146	  39.91	 0.126
ESO443-069	196.72008	-28.55344	 2.064	  46.23	 0.701
ESO443-079	197.59442	-27.97531	 1.384	  26.54	 0.347
ESO443-080	197.78900	-28.00900	 1.415	  21.86	 0.703
ESO443-085	198.80910	-32.25391	 0.806	  26.36	 0.454
ESO444-033	201.51779	-32.12947	 1.487	  22.85	 0.268
ESO444-037	201.75192	-30.07442	 2.061	  39.11	 0.473
ESO444-078	204.12962	-29.23489	 1.428	  50.23	 0.505
ESO445-089	210.26680	-30.32726	 2.004	  41.48	 0.821
ESO462-031	307.96777	-30.79858	 3.678	  13.15	 0.353
ESO466-014	328.59527	-31.96917	 0.900	  14.47	 0.122
ESO466-036	330.33530	-31.52974	 3.686	   9.24	 0.499
ESO467-051	335.82000	-28.98000	 1.061	  43.79	 0.123
ESO469-008	345.95917	-28.74333	 1.183	  35.11	 0.358
ESO469-015	347.23172	-30.85790	 0.721	  10.71	 0.157
ESO471-006	355.93979	-31.95677	 0.776	  59.55	 0.263
ESO476-010	021.67700	-25.31422	 1.013	  26.59	 0.310
ESO477-016	029.06663	-22.90113	 1.500	  12.16	 0.183
ESO479-004	036.58950	-24.28992	 1.177	  35.18	 0.444
ESO479-025	040.52912	-24.13186	 1.150	  20.53	 0.201
ESO480-020	045.61808	-22.80158	      	       	
ESO480-025	045.96050	-25.27236	 1.018	  31.81	 0.620
ESO481-014	048.41792	-25.18811	 0.885	  51.92	 0.234
ESO481-018	049.63667	-25.83561	 1.399	  39.73	 0.317
ESO481-030	052.40937	-23.35056	 0.817	  21.55	 0.187
ESO482-005	053.25912	-24.13292	 1.449	  26.00	 0.277
ESO482-011	054.07242	-25.60470	 0.955	  20.50	 0.304
ESO482-013	054.22372	-24.91307	 0.949	  13.35	 0.320
ESO482-035	055.31104	-23.83891	 1.375	  31.05	 0.539
ESO482-046	057.42606	-26.99336	 1.218	  46.49	 0.147
ESO483-008	061.51092	-22.63114	 0.827	  13.67	 0.443
ESO483-013	063.17133	-23.15889	 2.432	  20.65	 0.681
ESO485-021	073.22083	-25.24667	 1.904	  72.90	 0.728
ESO486-003	074.89458	-22.69944	 1.589	  29.32	 0.511
ESO486-021	075.83292	-25.42389	 0.941	  13.85	 0.740
ESO501-079	160.35817	-23.38339	 1.305	  46.71	 0.680
ESO501-080	160.65767	-23.93558	 1.339	  31.91	 0.242
ESO502-016	166.30727	-26.62411	 1.043	  30.14	 0.325
ESO502-020	167.34362	-22.87636	 1.393	  20.92	 0.822
ESO502-023	168.05746	-24.23186	 1.074	  23.32	 0.411
ESO503-022	173.37186	-26.94574	 0.811	  20.58	 0.410
ESO504-010	175.76458	-23.43250	 1.003	  16.78	 0.414
ESO504-024	178.40787	-26.99581	 1.078	  21.13	 0.748
ESO504-028	178.72668	-27.25142	 0.890	  23.85	 0.954
ESO505-002	180.13208	-24.72167	 0.866	  28.00	 0.778
ESO505-003	180.27913	-24.56802	 1.291	  39.09	 0.133
ESO505-008	180.89572	-25.38017	 0.955	  17.16	 0.295
ESO505-009	180.96192	-27.60144	 0.803	  27.01	 0.373
ESO505-013	181.53667	-22.85056	 2.162	  83.97	 0.742
ESO505-023	182.40096	-23.41194	 1.276	  27.92	 0.291
ESO506-018	188.42375	-23.68056	 1.139	  14.71	 0.119
ESO506-029	189.81792	-26.91111	 2.158	  61.55	 0.774
ESO506-033	190.05763	-25.32692	 3.050	   7.75	 0.259
ESO507-065	195.27125	-26.09222	 0.778	  20.55	 0.482
