Vendor;Name;Magnification;Focal Length extension (mm)
Antares;1.6X Barlow;1,6;
Antares;f/6.3 SCT Focal Reducer;0,6;
Any;1.5X Barlow;1,5;
Any;2.5X Barlow;2,5;
Any;2X Barlow;2;
Any;3X Barlow;3;
Any;4X Barlow;4;
Any;5X Barlow;5;
Any;f/2 Focal reducer;0,2;
Any;f/3.3 Focal reducer;0,3;
Any;f/5 Focal reducer;0,5;
Any;f/6.3 Focal reducer;0,6;
Astro-Physics;CCDT67 Telecompressor;0,67;
Baader;Hyperion Tuning Ring 14mm;;14
Baader;Hyperion Tuning Ring 28mm;;14
Celestron;0.7x Focal Reducer;0,7;
Mallincam;MFR-3 Focal reducer;0,6;
Mallincam;MFR-5 Focal reducer;0,3;
Meade;Series 4000 2x Barlow;2;
Orion;High-Power 3x Barlow;3;
Orion;High-Power 5x Barlow;5;
Orion;Shorty 2x Barlow;2;
Orion;Tri-Mag 3x Barlow;3;
Planostar;1.0x M63 Flattener;;
Riccardi;Reducer/Flattener;0,8;
SkyWatcher;SKFlat80 Reducer/Flattener;0,8;
Starizona;Apex ED 0.65x Reducer/Flattener;;
Televue;0.8X Reducer/Flattener;0,8;
Televue;Paracorr;1,15;
Televue;Powermate 2.5x;2,5;
Televue;Powermate 2x;2;
Televue;Powermate 4x;4;
Televue;Powermate 5x;5;
Televue;RFL-4087 Reducer/Flattener;0,8;
Televue;TRF-2008 Reducer/Flattener;0,8;
