Vendor;Model;Optics;D (mm);D (inch);FL (mm);f/Ratio;Mag;"DL ("")";Min;Max;FF (°)
10 Micron;RC-360 F/8;Ritchey-Chretien;360;14,2;2880;8;15,5;0,3;48x;571x;
Altair;150EDF Refractor 150/1200;Refractor;150;5,9;1200;8;13,6;0,8;20x;238x;
Altair;60 EDF Doublet Refractor V3;Refractor;60;2,4;360;6;11,6;1,9;8x;95x;
Altair;70 EDQ-R F5 Quad APO Astrograph;Refractor;70;2,8;350;5;11,9;1,7;9x;111x;
Altair;70ED Triplet APO;Refractor;70;2,8;420;6;11,9;1,7;9x;111x;
Altair;72 EDF Refractor;Refractor;72;2,8;432;6;12,0;1,6;10x;114x;
Altair;Planet Killer 102ED F11;Refractor;102;4;1122;11;12,7;1,1;14x;162x;
Altair;PLANETA 101mm APO;Refractor;101;4;1111;11;12,7;1,1;13x;160x;
Altair;Starwave 115 F7 ED Triplet;Refractor;115;4,5;115;1;13,0;1,0;15x;183x;
Altair;Starwave 130 F7 ED Triplet;Refractor;130;5,1;910;7;13,3;0,9;17x;206x;
Altair;Starwave ASCENT 70ED;Refractor;70;2,8;70;1;11,9;1,7;9x;111x;
Altair;Wave Series 102mm F7 Super ED Triplet APO;Refractor;102;4;102;1;12,7;1,1;14x;162x;
Altair;Wave Series 115mm F7 ED Triplet APO;Refractor;115;4,5;115;1;13,0;1,0;15x;183x;
Altair;Wave Series 125 EDF APO;Refractor;125;4,9;125;1;13,2;0,9;17x;198x;
Altair;Wave Series 80mm F6 Super ED Triplet APO;Refractor;80;3,1;80;1;12,2;1,4;11x;127x;
Antares;10 inch Dobsonian;Newtonian;250;9,8;1200;4,8;14,7;0,5;33x;397x;
Antares;1149 EQ3;Newtonian;114;4,5;900;7,9;13,0;1,0;15x;181x;
Antares;12 inch Dobsonian;Newtonian;300;11,8;1500;5;15,1;0,4;40x;476x;
Antares;12012 EQ5;Refractor;127;5;1220;9,6;13,2;0,9;17x;202x;
Antares;1208 EQ5;Refractor;127;5;820;6,5;13,2;0,9;17x;202x;
Antares;1529 EQ5;Refractor;152;6;990;6,5;13,6;0,8;20x;241x;
