g,bp_rp
7.9440994,0.055003643
9.031085,0.3638153
9.688201,0.13473988
9.736552,0.78588295
9.836054,1.6982384
9.974607,0.35686302
10.006201,2.3926153
10.052008,1.2688255
10.462669,1.9266605
10.747896,0.7147188
10.894099,2.8649693
10.924755,1.499197
10.950303,0.8892126
11.086631,0.90871525
11.16334,1.6462717
11.262064,1.5234642
11.303575,1.4337015
11.368115,1.5970011
11.442231,0.67353725
11.4973755,0.78951645
11.515047,0.7550802
11.542277,0.82497406
11.596421,0.5702734
11.623112,0.61380386
11.647691,2.2869892
11.650051,0.72434235
11.73648,1.6965904
11.756415,1.3451424
11.83272,1.7842655
11.833858,1.1059408
11.854891,0.91405106
11.931375,0.48172665
11.946265,0.65128326
11.950056,1.6488123
11.977838,1.5788288
11.999134,0.90859604
12.013031,1.3224468
12.08094,0.7224159
12.10213,1.1447687
12.106494,0.4037304
12.142057,1.4441795
12.147504,1.184536
12.209399,1.5877934
12.228896,0.8923311
12.23198,2.1697874
12.253087,1.4236937
12.253553,0.91150475
12.269753,1.5848179
12.310466,1.5610847
12.313395,1.6131201
12.361539,0.8932514
12.565802,1.6667156
12.567543,0.91212845
12.597241,0.903409
12.638571,1.4117565
12.64826,2.2934303
12.65853,1.3715019
12.671329,0.8970127
12.697657,0.5959816
12.718148,0.44084835
12.720572,0.31192398
12.72413,1.9763918
12.746941,1.5503864
12.749967,1.4754133
12.758147,0.7175274
12.7746525,0.8664446
12.786079,0.8983717
12.822738,1.4671412
12.826297,1.1923199
12.832757,1.6568813
12.925499,0.9430342
12.9390545,1.572751
12.949649,1.2003651
12.962331,1.4652538
12.96644,0.5647268
12.976537,1.167243
12.979646,1.0307055
12.981876,1.5694828
12.994393,1.5284643
13.002818,1.4126606
13.018639,0.71902275
13.054036,1.4114189
13.063302,1.3898277
13.1045475,1.5503969
13.135128,1.4744596
13.150689,0.9339514
13.164581,0.913393
13.164964,1.3829927
13.181952,1.4016991
13.189036,0.95910835
13.214457,1.164381
13.218947,1.3757687
13.229436,0.3414793
13.262735,1.5350904
13.272372,1.414854
13.274264,1.3137817
13.282463,1.4598417
13.287538,1.6996956
13.305958,0.7602167
13.324947,1.0674314
13.336329,0.7602463
13.3794565,1.4158163
13.380257,1.3406553
13.380655,1.365984
13.393429,1.2194242
13.393794,1.3771696
13.414277,1.3500872
13.422489,1.0353775
13.43877,1.0528793
13.44065,1.0609913
13.467311,1.3753834
13.467943,1.3521137
13.46899,1.4511147
13.488622,1.3982325
13.490211,1.0210466
13.497188,1.3650017
13.507184,1.3660622
13.507606,1.3321724
13.512076,1.3774567
13.520121,1.3723049
13.529967,1.3761158
13.530368,0.7142706
