objeto,config,theta_int_arcmin,CminA,CminB,ratio_umbral,areaA_px,areaB_px,d_area_pct,flujoA,flujoB,d_flujo_pct,rVisA_as,rVisB_as,aparecen_px,desaparecen_px
M104,18a66_212,8.772,1.3023e-1,1.0800e-1,0.829,2971,3209,8.0,1.7173e-5,1.7370e-5,1.1,548,548,238,0
M104,18a158_212,8.772,1.0023e-1,1.8197e-1,1.816,18829,14966,-20.5,9.4289e-5,9.0326e-5,-4.2,548,548,0,3863
M104,12a152_212,8.772,1.3462e-1,2.4165e-1,1.795,15572,12243,-21.4,8.5391e-5,8.0913e-5,-5.2,549,547,0,3329
M104,18a158_220,8.772,1.2971e-1,2.4061e-1,1.855,21912,18047,-17.6,9.6216e-5,9.3238e-5,-3.1,556,548,0,3865
M81,18a66_212,21.150,1.3023e-1,9.4680e-2,0.727,7597,8850,16.5,3.6774e-5,3.7601e-5,2.2,840,840,1253,0
M81,18a158_212,21.150,1.0023e-1,1.6783e-1,1.674,49363,37760,-23.5,2.1218e-4,2.0382e-4,-3.9,840,840,0,11603
M81,12a152_212,21.150,1.3462e-1,2.1941e-1,1.630,39450,30500,-22.7,1.9192e-4,1.8333e-4,-4.5,840,840,0,8950
M81,18a158_220,21.150,1.2971e-1,2.1921e-1,1.690,60505,48309,-20.2,2.1751e-4,2.1085e-4,-3.1,840,840,0,12196
M51,18a66_212,12.921,1.3023e-1,1.0021e-1,0.769,4758,5040,5.9,1.5601e-5,1.6119e-5,3.3,735,735,282,0
M51,18a158_212,12.921,1.0023e-1,1.7374e-1,1.734,28713,25175,-12.3,9.4125e-5,8.6874e-5,-7.7,735,733,0,3538
M51,12a152_212,12.921,1.3462e-1,2.2870e-1,1.699,25184,21600,-14.2,8.4007e-5,7.5699e-5,-9.9,735,722,0,3584
M51,18a158_220,12.921,1.2971e-1,2.2815e-1,1.759,31610,28125,-11.0,9.7350e-5,9.2775e-5,-4.7,735,735,0,3485
M101,18a66_212,23.179,1.3023e-1,9.3768e-2,0.720,8824,10238,16.0,1.6407e-5,1.7400e-5,6.1,836,844,1414,0
M101,18a158_212,23.179,1.0023e-1,1.6685e-1,1.665,57103,44569,-21.9,1.0121e-4,9.1453e-5,-9.6,844,836,0,12534
M101,12a152_212,23.179,1.3462e-1,2.1787e-1,1.618,46051,35263,-23.4,9.0559e-5,8.0657e-5,-10.9,843,837,0,10788
M101,18a158_220,23.179,1.2971e-1,2.1773e-1,1.679,69153,56238,-18.7,1.0709e-4,9.9844e-5,-6.8,846,844,0,12915
NGC205,18a66_212,9.199,1.3023e-1,1.0629e-1,0.816,6169,6860,11.2,1.5189e-5,1.5466e-5,1.8,840,840,691,0
NGC205,18a158_212,9.199,1.0023e-1,1.8017e-1,1.798,39865,29589,-25.8,8.3451e-5,7.8626e-5,-5.8,840,826,0,10276
NGC205,12a152_212,9.199,1.3462e-1,2.3882e-1,1.774,31757,22818,-28.1,7.6140e-5,7.1219e-5,-6.5,840,839,0,8939
NGC205,18a158_220,9.199,1.2971e-1,2.3789e-1,1.834,50110,37404,-25.4,8.6530e-5,8.2086e-5,-5.1,841,840,0,12706
SINT6,18a66_212,6.000,1.3023e-1,1.1802e-1,0.906,1033,1101,6.6,1.6098e-6,1.6598e-6,3.1,99,102,68,0
SINT6,18a158_212,6.000,1.0023e-1,1.9238e-1,1.919,6969,4349,-37.6,9.8025e-6,7.8534e-6,-19.9,106,84,0,2620
SINT6,12a152_212,6.000,1.3462e-1,2.5814e-1,1.918,5249,3149,-40.0,8.2906e-6,6.3862e-6,-23.0,96,75,0,2100
SINT6,18a158_220,6.000,1.2971e-1,2.5646e-1,1.977,9225,6093,-34.0,1.0922e-5,9.0784e-6,-16.9,122,99,0,3132
