objeto,config,ley,r_as,media_flujo,fraccion_visible
M104,18a66_212,A,2.0,3.774e-7,1.000
M104,18a66_212,A,10.0,1.278e-7,1.000
M104,18a66_212,A,14.0,6.373e-8,1.000
M104,18a66_212,A,18.0,4.083e-8,1.000
M104,18a66_212,A,22.0,2.798e-8,1.000
M104,18a66_212,A,26.0,2.658e-8,1.000
M104,18a66_212,A,30.0,2.438e-8,1.000
M104,18a66_212,A,34.0,1.913e-8,1.000
M104,18a66_212,A,38.0,1.491e-8,1.000
M104,18a66_212,A,42.0,1.194e-8,1.000
M104,18a66_212,A,46.0,1.336e-8,1.000
M104,18a66_212,A,50.0,1.064e-8,1.000
M104,18a66_212,A,54.0,8.335e-9,1.000
M104,18a66_212,A,58.0,7.365e-9,1.000
M104,18a66_212,A,62.0,6.800e-9,1.000
M104,18a66_212,A,66.0,6.045e-9,1.000
M104,18a66_212,A,70.0,4.455e-9,1.000
M104,18a66_212,A,74.0,3.868e-9,1.000
M104,18a66_212,A,78.0,4.450e-9,1.000
M104,18a66_212,A,82.0,5.407e-9,1.000
M104,18a66_212,A,86.0,2.891e-9,1.000
M104,18a66_212,A,90.0,1.685e-9,1.000
M104,18a66_212,A,94.0,2.383e-9,1.000
M104,18a66_212,A,98.0,2.247e-9,1.000
M104,18a66_212,A,102.0,1.551e-9,1.000
M104,18a66_212,A,106.0,8.574e-10,0.988
M104,18a66_212,A,110.0,1.345e-9,0.990
M104,18a66_212,A,114.0,1.096e-9,0.902
M104,18a66_212,A,118.0,9.845e-10,0.891
M104,18a66_212,A,122.0,4.014e-10,0.824
M104,18a66_212,A,126.0,6.767e-10,0.735
M104,18a66_212,A,130.0,6.465e-10,0.611
M104,18a66_212,A,134.0,5.591e-10,0.542
M104,18a66_212,A,138.0,1.338e-10,0.483
M104,18a66_212,A,142.0,4.126e-10,0.419
M104,18a66_212,A,146.0,3.706e-10,0.402
M104,18a66_212,A,150.0,2.542e-10,0.289
M104,18a66_212,A,154.0,4.392e-11,0.202
M104,18a66_212,A,158.0,1.885e-10,0.243
M104,18a66_212,A,162.0,1.516e-10,0.250
M104,18a66_212,A,166.0,9.581e-11,0.194
M104,18a66_212,A,170.0,8.689e-10,0.202
M104,18a66_212,A,174.0,5.877e-11,0.202
M104,18a66_212,A,178.0,1.973e-10,0.165
M104,18a66_212,A,182.0,1.949e-11,0.133
M104,18a66_212,A,186.0,4.639e-12,0.056
M104,18a66_212,A,190.0,3.512e-11,0.106
M104,18a66_212,A,194.0,1.051e-11,0.080
M104,18a66_212,A,198.0,5.808e-11,0.030
M104,18a66_212,A,202.0,6.649e-12,0.017
M104,18a66_212,A,206.0,1.278e-11,0.044
M104,18a66_212,A,210.0,3.539e-12,0.045
M104,18a66_212,A,214.0,3.300e-11,0.031
M104,18a66_212,A,218.0,2.269e-11,0.048
M104,18a66_212,A,222.0,8.843e-11,0.054
M104,18a66_212,A,226.0,1.155e-9,0.069
M104,18a66_212,A,230.0,1.130e-9,0.068
M104,18a66_212,A,234.0,7.106e-10,0.048
M104,18a66_212,A,238.0,1.166e-10,0.064
M104,18a66_212,A,242.0,2.596e-11,0.048
M104,18a66_212,A,246.0,3.429e-11,0.051
M104,18a66_212,A,250.0,3.651e-11,0.049
M104,18a66_212,A,254.0,4.079e-11,0.033
M104,18a66_212,A,258.0,7.133e-10,0.021
M104,18a66_212,A,262.0,2.232e-12,0.018
M104,18a66_212,A,266.0,1.712e-13,0.021
M104,18a66_212,A,270.0,7.617e-12,0.025
M104,18a66_212,A,274.0,9.964e-12,0.028
M104,18a66_212,A,278.0,5.020e-11,0.024
M104,18a66_212,A,282.0,2.530e-12,0.020
M104,18a66_212,A,286.0,6.487e-12,0.013
M104,18a66_212,A,290.0,1.202e-12,0.011
M104,18a66_212,A,294.0,1.031e-13,0.014
M104,18a66_212,A,298.0,5.807e-13,0.021
M104,18a66_212,A,302.0,1.364e-11,0.017
M104,18a66_212,A,306.0,9.330e-10,0.044
M104,18a66_212,A,310.0,4.991e-11,0.065
M104,18a66_212,A,314.0,2.191e-11,0.063
M104,18a66_212,A,318.0,2.559e-9,0.051
M104,18a66_212,A,322.0,5.314e-11,0.048
M104,18a66_212,A,326.0,1.199e-11,0.042
