obj,config,negros,negrosProd,b,bProd,soloRampa,ibB,ibBProd,redIbPct,puenteFrac,cieloFracOpPos,cieloFracProd,cieloNivel,anillosDmagMax,fuenteDmag,fuenteDop,chamferErr,ms
M51,s25,149549,149549,48205,48205,49044,618,618,0.0,0.196,0.0000,0.0000,23.556,0.0000,0.0000,0.0000,,0
M51,E1p75s50,146342,149549,45124,48205,45963,503,618,18.6,0.144,0.0000,0.0000,23.556,0.0000,0.0000,0.0000,,565.4
M51,E1p75s100,145253,149549,44152,48205,44991,493,618,20.2,0.154,0.0000,0.0000,23.556,0.0000,0.0000,0.0000,,703.5
M51,E1p90s50,142677,149549,41620,48205,42459,384,618,37.9,0.101,0.0000,0.0000,23.556,0.0000,0.0000,0.0000,,704.1
M51,E1p90s100,138955,149549,38391,48205,39230,303,618,51.0,0.105,0.0000,0.0000,23.556,0.0000,0.0000,0.0000,,724
M51,E2expa50,143837,149549,43795,48205,44634,491,618,20.6,0.137,0.8816,0.0000,23.558,-2.8553,-0.0236,0.0073,0.0038,8179.4
M51,E2expa100,137919,149549,40209,48205,41048,371,618,40.0,0.114,0.8816,0.0000,23.560,-3.5273,-0.1196,0.0683,0.0011,8717.5
M51,E2expa150,132884,149549,37633,48205,38472,324,618,47.6,0.105,0.8816,0.0000,23.563,-3.8716,-0.1884,0.1267,0.0009,8204.3
M51,E2lina50,137193,149549,39634,48205,40473,342,618,44.7,0.114,0.4461,0.0000,23.559,-3.3300,-0.1775,0.1166,0.0023,6773.1
M51,E2lina100,127589,149549,35012,48205,35851,293,618,52.6,0.098,0.7862,0.0000,23.564,-4.0327,-0.2552,0.1871,0.0010,7130.5
M51,E2lina150,122317,149549,32439,48205,33278,284,618,54.0,0.098,0.8782,0.0000,23.569,-4.3529,-0.2800,0.2105,0.0000,7462.7
M81,s25,338413,338413,122305,122305,123551,0,0,,,0.0500,0.0500,23.717,0.0000,,,,0
M81,E1p75s50,336259,338413,120157,122305,121403,0,0,,,0.0500,0.0500,23.717,0.0000,,,,700.3
M81,E1p75s100,335216,338413,119123,122305,120369,0,0,,,0.0500,0.0500,23.717,0.0000,,,,718.2
M81,E1p90s50,332971,338413,116842,122305,118088,0,0,,,0.0500,0.0500,23.717,0.0000,,,,792.8
M81,E1p90s100,330929,338413,115095,122305,116341,0,0,,,0.0500,0.0500,23.717,0.0000,,,,842.2
M81,E2expa50,320613,338413,110061,122305,111211,0,0,,,0.9406,0.0500,23.758,-0.7595,,,0.0039,9685.1
M81,E2expa100,296916,338413,98497,122305,99622,0,0,,,0.9406,0.0500,23.781,-1.1020,,,0.0039,8078.7
M81,E2expa150,278628,338413,90409,122305,91520,0,0,,,0.9406,0.0500,23.797,-1.2873,,,0.0038,8191.5
M81,E2lina50,293741,338413,96458,122305,97571,0,0,,,0.8310,0.0500,23.777,-1.0236,,,0.0039,6832.2
M81,E2lina100,258767,338413,81025,122305,82120,0,0,,,0.9406,0.0500,23.811,-1.4342,,,0.0028,6707.2
