fondo,log_theta,logC_dato,logC_H2conj,residual
13,-0.2255,0.4557,0.3538,0.1019
13,0.5563,-1.0673,-1.0456,-0.0217
13,0.9859,-1.8186,-1.6450,-0.1736
13,1.26,-2.0531,-1.9249,-0.1282
13,1.742,-2.2445,-2.2220,-0.0225
13,2.083,-2.3083,-2.3223,0.0140
13,2.556,-2.3491,-2.3835,0.0344
17,-0.2255,1.4822,1.4933,-0.0111
17,0.5563,-0.0419,0.0135,-0.0554
17,0.9859,-0.8243,-0.6975,-0.1268
17,1.26,-1.1475,-1.0732,-0.0743
17,1.742,-1.5021,-1.5349,0.0328
17,2.083,-1.6768,-1.7154,0.0386
17,2.556,-1.842,-1.8349,-0.0071
19,-0.2255,2.2669,2.0671,0.1998
19,0.5563,0.696,0.5625,0.1335
19,0.9859,-0.1315,-0.1883,0.0568
19,1.26,-0.551,-0.6043,0.0533
19,1.742,-1.0562,-1.1528,0.0966
19,2.083,-1.2892,-1.3860,0.0968
19,2.556,-1.4827,-1.5492,0.0665
21,-0.2255,2.7766,2.6425,0.1341
21,0.5563,1.2065,1.1202,0.0863
21,0.9859,0.3467,0.3391,0.0076
21,1.26,-0.1377,-0.1104,-0.0273
21,1.742,-0.7361,-0.7415,0.0054
21,2.083,-0.9964,-1.0337,0.0373
21,2.556,-1.2439,-1.2522,0.0083
23,-0.2255,3.1634,3.2191,-0.0557
23,0.5563,1.6107,1.6843,-0.0736
23,0.9859,0.7708,0.8807,-0.1099
23,1.26,0.2531,0.4047,-0.1516
23,1.742,-0.3895,-0.3006,-0.0889
23,2.083,-0.703,-0.6549,-0.0481
23,2.556,-0.9681,-0.9404,-0.0277
